vernacularname,scientificname,aphiaid,tsn
Arctic char,Salvelinus alpinus,127188,162001
Atlantic salmon,Salmo salar,127186,161996
blue shark,Prionace glauca,105801,160424
leervis,Lichia amia,126810,168769
spotted grunter,Pomadasys commersonnii,218563,630243
white shark,Carcharodon carcharias,105838,159903
smooth hound shark,Mustelus mustelus,105822,160242
sevengill shark,Notorynchus cepedianus,217628,159829
Zambezi shark,Carcharhinus leucas,105792,160275
tiger shark,Galeocerdo cuvier,105799,160189
Chinook salmon,Oncorhynchus tshawytscha,158075,161980
Dungeness crab,Cancer magister,452271,98675
English sole,Parophrys vetulus,254393,172921
Steelhead salmon,Oncorhynchus mykiss,127185,161989
