deployment_id,receiver_serial_number,receiver_reference_type,receiver_reference_id,receiver_manufacturer,receiver_model
ASF-West Line D-VR2-2272-2009,2272,ManmadePlatform,ASF_ASF-West Line D,VEMCO,VR2
ASF-WYERS POOL-Kedgewick-VR2-2603-2006,2603,ManmadePlatform,ASF_ASF-WYERS POOL-Kedgewick,VEMCO,VR2
ASF-WYERS POOL-Kedgewick-VR2-3342-2005,3342,ManmadePlatform,ASF_ASF-WYERS POOL-Kedgewick,VEMCO,VR2
ASF-2 km Upriver of the Oxbow-VR2-1135-2007,1135,ManmadePlatform,ASF_ASF-2 km Upriver of the Oxbow,VEMCO,VR2
ASF-Above Falls-VR2-3335-2008,3335,ManmadePlatform,ASF_ASF-Above Falls,VEMCO,VR2
ASF-Above Falls-VR2-3335-2009,3335,ManmadePlatform,ASF_ASF-Above Falls,VEMCO,VR2
ASF-Above Falls-VR2-3342-2010,3342,ManmadePlatform,ASF_ASF-Above Falls,VEMCO,VR2
ASF-Above Falls-VR2-3349-2009,3349,ManmadePlatform,ASF_ASF-Above Falls,VEMCO,VR2
ASF-Above Falls-VR2-3357-2007,3357,ManmadePlatform,ASF_ASF-Above Falls,VEMCO,VR2
ASF-Above Falls-VR2-5032-2010,5032,ManmadePlatform,ASF_ASF-Above Falls,VEMCO,VR2
ASF-Anticosti Island 1-VR2-2587-2010,2587,ManmadePlatform,ASF_ASF-Anticosti Island 1,VEMCO,VR2
ASF-Anticosti Island 2-VR2-2581-2010,2581,ManmadePlatform,ASF_ASF-Anticosti Island 2,VEMCO,VR2
ASF-Anticosti Island 3-VR2-3335-2010,3335,ManmadePlatform,ASF_ASF-Anticosti Island 3,VEMCO,VR2
ASF-Anticosti Island 4-VR2-3346-2010,3346,ManmadePlatform,ASF_ASF-Anticosti Island 4,VEMCO,VR2
EST-Gamtoos-VR2W-119101-3,119101,ManmadePlatform,SAF_EST-Gamtoos,VEMCO,VR2W
EST-Gouritz-U22-001-10098862-2,10098862,ManmadePlatform,SAF_EST-Gouritz,UNK,U22-001
EST-Gouritz-VR2W-102853-2,102853,ManmadePlatform,SAF_EST-Gouritz,VEMCO,VR2W
EST-Keiskamma-U22-001-10098859-2,10098859,ManmadePlatform,SAF_EST-Keiskamma,UNK,U22-001
EST-Keiskamma-VR2W-120163-2,120163,ManmadePlatform,SAF_EST-Keiskamma,VEMCO,VR2W
EST-Swartkops-VR2W-119095-3,119095,ManmadePlatform,SAF_EST-Swartkops,VEMCO,VR2W
ESTSundays-VR2W-112441-4,112441,ManmadePlatform,SAF_SAF-Sundays,VEMCO,VR2W
GSBGSB001-VR2W-119624-3,119624,ManmadePlatform,SAF_GSB-GSB001,VEMCO,VR2W
PSJPSJ001-VR2W-119100-4,119100,ManmadePlatform,SAF_SAF-PSJ001,VEMCO,VR2W
PSJPSJ002-U22-001-10106787-4,10106787,ManmadePlatform,SAF_SAF-PSJ002,UNK,U22-001
PSJPSJ002-VR2W-120168-4,120168,ManmadePlatform,SAF_SAF-PSJ002,VEMCO,VR2W
PSJPSJ003-VR2W-112472-4,112472,ManmadePlatform,SAF_SAF-PSJ003,VEMCO,VR2W
SAFAB003-VR2W-120157-6,120157,ManmadePlatform,SAF_SAF-AB003,VEMCO,VR2W
SAFAB004-VR2W-119110-6,119110,ManmadePlatform,SAF_SAF-AB004,VEMCO,VR2W
SAFAB005-U22-001-10113348-6,10113348,ManmadePlatform,SAF_SAF-AB005,UNK,U22-001
SAFAB005-VR2W-112419-6,112419,ManmadePlatform,SAF_SAF-AB005,VEMCO,VR2W
SAFAB006-VR2W-120150-6,120150,ManmadePlatform,SAF_SAF-AB006,VEMCO,VR2W
SAFAB007-VR2W-119617-6,119617,ManmadePlatform,SAF_SAF-AB007,VEMCO,VR2W
CPCP001-VR2W-119161-3,119161,ManmadePlatform,SAF_SAF-CP001,VEMCO,VR2W
CPCP002-U22-001-10098872-3,10098872,ManmadePlatform,SAF_SAF-CP002,UNK,U22-001
CPCP002-VR2W-112345-3,112345,ManmadePlatform,SAF_SAF-CP002,VEMCO,VR2W
CPCP003-VR2W-120152-3,120152,ManmadePlatform,SAF_SAF-CP003,VEMCO,VR2W
ASF-Anticosti Island 5-VR2W-109522-2010,109522,ManmadePlatform,ASF_ASF-Anticosti Island 5,VEMCO,VR2W
ASF-CB4-VR2-4293-2009,4293,ManmadePlatform,ASF_ASF-CB4,VEMCO,VR2
ASF-Barnaby Isand-VR2-1127-2009,1127,ManmadePlatform,ASF_ASF-Barnaby Isand,VEMCO,VR2
ASF-Barnaby Isand-VR2-2605-2005,2605,ManmadePlatform,ASF_ASF-Barnaby Isand,VEMCO,VR2
ASF-BARTIBOG UPSTREAM 1-VR2-2267-2009,2267,ManmadePlatform,ASF_ASF-BARTIBOG UPSTREAM 1,VEMCO,VR2
ASF-BARTIBOG UPSTREAM 2-VR2-1152-2009,1152,ManmadePlatform,ASF_ASF-BARTIBOG UPSTREAM 2,VEMCO,VR2
ASF-BB low-VR2-2599-2005,2599,ManmadePlatform,ASF_ASF-BB low,VEMCO,VR2
ASF-Belledune Coastline 1-VR2-2589-2005,2589,ManmadePlatform,ASF_ASF-Belledune Coastline 1,VEMCO,VR2
ASF-Belledune Coastline 2-VR2-2593-2005,2593,ManmadePlatform,ASF_ASF-Belledune Coastline 2,VEMCO,VR2
ASF-Belledune Coastline 3-VR2-2600-2005,2600,ManmadePlatform,ASF_ASF-Belledune Coastline 3,VEMCO,VR2
ASF-Below Falls-VR2-1143-2007,1143,ManmadePlatform,ASF_ASF-Below Falls,VEMCO,VR2
ASF-Below Falls-VR2-1143-2008,1143,ManmadePlatform,ASF_ASF-Below Falls,VEMCO,VR2
ASF-Below Falls-VR2-2587-2007,2587,ManmadePlatform,ASF_ASF-Below Falls,VEMCO,VR2
ASF-Below Falls-VR2-3342-2008,3342,ManmadePlatform,ASF_ASF-Below Falls,VEMCO,VR2
ASF-Below Falls-VR2-3342-2009,3342,ManmadePlatform,ASF_ASF-Below Falls,VEMCO,VR2
ASF-Below Falls-VR2-3353-2007,3353,ManmadePlatform,ASF_ASF-Below Falls,VEMCO,VR2
ASF-Below Falls-VR2-3353-2009,3353,ManmadePlatform,ASF_ASF-Below Falls,VEMCO,VR2
ASF-Below Falls-VR2-5033-2010,5033,ManmadePlatform,ASF_ASF-Below Falls,VEMCO,VR2
ASF-Boies1-VR2-2606-2005,2606,ManmadePlatform,ASF_ASF-Boies1,VEMCO,VR2
ASF-Boies2-VR2-2607-2005,2607,ManmadePlatform,ASF_ASF-Boies2,VEMCO,VR2
ASF-Boiestown-Tuckaway Lodge-VR2-1013-2006,1013,ManmadePlatform,ASF_ASF-Boiestown-Tuckaway Lodge,VEMCO,VR2
ASF-Boiestown-Tuckaway Lodge-VR2-1097-2007,1097,ManmadePlatform,ASF_ASF-Boiestown-Tuckaway Lodge,VEMCO,VR2
ASF-Boston Brook-VR2-2609-2006,2609,ManmadePlatform,ASF_ASF-Boston Brook,VEMCO,VR2
ASF-Boston Brook-VR2-3347-2005,3347,ManmadePlatform,ASF_ASF-Boston Brook,VEMCO,VR2
ASF-Bridge 1-VR2-3352-2007,3352,ManmadePlatform,ASF_ASF-Bridge 1,VEMCO,VR2
ASF-Bridge 1-VR2-3352-2008,3352,ManmadePlatform,ASF_ASF-Bridge 1,VEMCO,VR2
ASF-Bridge 2-VR2-3353-2008,3353,ManmadePlatform,ASF_ASF-Bridge 2,VEMCO,VR2
ASF-Bridge-VR2-1564-2009,1564,ManmadePlatform,ASF_ASF-Bridge,VEMCO,VR2
ASF-Bridge-VR2-2884-2009,2884,ManmadePlatform,ASF_ASF-Bridge,VEMCO,VR2
ASF-Bridge-VR2W-105524-2010,105524,ManmadePlatform,ASF_ASF-Bridge,VEMCO,VR2W
ASF-Bridge-VR2W-109400-2010,109400,ManmadePlatform,ASF_ASF-Bridge,VEMCO,VR2W
ASF-CASC1-VR2-2586-2005,2586,ManmadePlatform,ASF_ASF-CASC1,VEMCO,VR2
ASF-CASC2-VR2-2587-2005,2587,ManmadePlatform,ASF_ASF-CASC2,VEMCO,VR2
ASF-CASC3-VR2-2588-2005,2588,ManmadePlatform,ASF_ASF-CASC3,VEMCO,VR2
ASF-Cascapedia 1-VR2-1164-2010,1164,ManmadePlatform,ASF_ASF-Cascapedia 1,VEMCO,VR2
ASF-Cascapedia 1-VR2-1169-2009,1169,ManmadePlatform,ASF_ASF-Cascapedia 1,VEMCO,VR2
ASF-Cascapedia 2-VR2-1164-2009,1164,ManmadePlatform,ASF_ASF-Cascapedia 2,VEMCO,VR2
ASF-Cascapedia 2-VR2-1169-2010,1169,ManmadePlatform,ASF_ASF-Cascapedia 2,VEMCO,VR2
ASF-Cascapedia River 1-VR2-2908-2006,2908,ManmadePlatform,ASF_ASF-Cascapedia River 1,VEMCO,VR2
ASF-Cascapedia River 1-VR2-3337-2007,3337,ManmadePlatform,ASF_ASF-Cascapedia River 1,VEMCO,VR2
ASF-Cascapedia River 2-VR2-2593-2006,2593,ManmadePlatform,ASF_ASF-Cascapedia River 2,VEMCO,VR2
ASF-Cascapedia River 2-VR2-3341-2007,3341,ManmadePlatform,ASF_ASF-Cascapedia River 2,VEMCO,VR2
ASF-Casc Estuary 1-VR2-1126-2005,1126,ManmadePlatform,ASF_ASF-Casc Estuary 1,VEMCO,VR2
ASF-Casc Estuary 1-VR2-2910-2006,2910,ManmadePlatform,ASF_ASF-Casc Estuary 1,VEMCO,VR2
ASF-Casc Estuary 1-VR2-3343-2007,3343,ManmadePlatform,ASF_ASF-Casc Estuary 1,VEMCO,VR2
ASF-Casc Estuary 2-VR2-1571-2005,1571,ManmadePlatform,ASF_ASF-Casc Estuary 2,VEMCO,VR2
ASF-Casc Estuary 2-VR2-2611-2006,2611,ManmadePlatform,ASF_ASF-Casc Estuary 2,VEMCO,VR2
ASF-Casc Estuary 2-VR2-3346-2007,3346,ManmadePlatform,ASF_ASF-Casc Estuary 2,VEMCO,VR2
ASF-Cass 1 2005-VR2-2603-2005,2603,ManmadePlatform,ASF_ASF-Cass 1 2005,VEMCO,VR2
ASF-Cass 1-VR2-1139-2009,1139,ManmadePlatform,ASF_ASF-Cass 1,VEMCO,VR2
ASF-Cass 2-VR2-3610-2005,3610,ManmadePlatform,ASF_ASF-Cass 2,VEMCO,VR2
ASF-Cassilis 2-VR2-1139-2007,1139,ManmadePlatform,ASF_ASF-Cassilis 2,VEMCO,VR2
ASF-CB10-VR2-5017-2009,5017,ManmadePlatform,ASF_ASF-CB10,VEMCO,VR2
ASF-CB10-VR2-5017-2010,5017,ManmadePlatform,ASF_ASF-CB10,VEMCO,VR2
ASF-CB11-VR2-5016-2009,5016,ManmadePlatform,ASF_ASF-CB11,VEMCO,VR2
ASF-CB11-VR2W-109526-2010,109526,ManmadePlatform,ASF_ASF-CB11,VEMCO,VR2W
ASF-CB12-VR2-5018-2009,5018,ManmadePlatform,ASF_ASF-CB12,VEMCO,VR2
ASF-CB12-VR2-5018-2010,5018,ManmadePlatform,ASF_ASF-CB12,VEMCO,VR2
ASF-CB13-VR2-5021-2009,5021,ManmadePlatform,ASF_ASF-CB13,VEMCO,VR2
ASF-CB13-VR2-5021-2010,5021,ManmadePlatform,ASF_ASF-CB13,VEMCO,VR2
ASF-CB14-VR2-5029-2010,5029,ManmadePlatform,ASF_ASF-CB14,VEMCO,VR2
ASF-CB15-VR2-5030-2009,5030,ManmadePlatform,ASF_ASF-CB15,VEMCO,VR2
ASF-CB15-VR2-5030-2010,5030,ManmadePlatform,ASF_ASF-CB15,VEMCO,VR2
ASF-CB16-VR2-5029-2009,5029,ManmadePlatform,ASF_ASF-CB16,VEMCO,VR2
ASF-CB16-VR2W-109519-2010,109519,ManmadePlatform,ASF_ASF-CB16,VEMCO,VR2W
ASF-CB17-VR2W-103123-2009,103123,ManmadePlatform,ASF_ASF-CB17,VEMCO,VR2W
ASF-CB17-VR2W-103123-2010,103123,ManmadePlatform,ASF_ASF-CB17,VEMCO,VR2W
ASF-CB18-VR2W-105401-2010,105401,ManmadePlatform,ASF_ASF-CB18,VEMCO,VR2W
ASF-CB19-VR2W-103125-2009,103125,ManmadePlatform,ASF_ASF-CB19,VEMCO,VR2W
ASF-CB1-VR2-4287-2009,4287,ManmadePlatform,ASF_ASF-CB1,VEMCO,VR2
ASF-CB1-VR2-4287-2010,4287,ManmadePlatform,ASF_ASF-CB1,VEMCO,VR2
ASF-Cassilis 2-VR2-1574-2006,1574,ManmadePlatform,ASF_ASF-Cassilis 2,VEMCO,VR2
ASF-CB20-VR2W-103982-2009,103982,ManmadePlatform,ASF_ASF-CB20,VEMCO,VR2W
ASF-CB21-VR2W-103135-2009,103135,ManmadePlatform,ASF_ASF-CB21,VEMCO,VR2W
ASF-CB21-VR2W-103135-2010,103135,ManmadePlatform,ASF_ASF-CB21,VEMCO,VR2W
ASF-CB22-VR2W-103136-2009,103136,ManmadePlatform,ASF_ASF-CB22,VEMCO,VR2W
ASF-CB22-VR2W-103136-2010,103136,ManmadePlatform,ASF_ASF-CB22,VEMCO,VR2W
ASF-CB23-VR2W-103137-2009,103137,ManmadePlatform,ASF_ASF-CB23,VEMCO,VR2W
ASF-CB23-VR2W-103137-2010,103137,ManmadePlatform,ASF_ASF-CB23,VEMCO,VR2W
ASF-CB24-VR2W-103140-2009,103140,ManmadePlatform,ASF_ASF-CB24,VEMCO,VR2W
ASF-CB24-VR2W-103140-2010,103140,ManmadePlatform,ASF_ASF-CB24,VEMCO,VR2W
ASF-CB25-VR2W-103120-2009,103120,ManmadePlatform,ASF_ASF-CB25,VEMCO,VR2W
ASF-CB25-VR2W-103120-2010,103120,ManmadePlatform,ASF_ASF-CB25,VEMCO,VR2W
ASF-CB26-VR2W-103139-2009,103139,ManmadePlatform,ASF_ASF-CB26,VEMCO,VR2W
ASF-CB20-VR2W-104380-2010,104380,ManmadePlatform,ASF_ASF-CB20,VEMCO,VR2W
ASF-CB28-VR2W-103119-2009,103119,ManmadePlatform,ASF_ASF-CB28,VEMCO,VR2W
ASF-CB29-VR2W-103121-2009,103121,ManmadePlatform,ASF_ASF-CB29,VEMCO,VR2W
