facility,permit_type,permit_status,facility_address,city
RIVER RUN CAFE,Food Shop,Active,151 PROVOST ST. SUITE,NEW GLASGOW
NEEDS #4447,Eating Establishment,Awaiting Application,319 WENTWORTH RD.,WINDSOR
TIM HORTONS (UPPER LEVEL),Food Shop,Awaiting Application,1 BELL BLVD.,ENFIELD
BRIDGEWATER FARMERS MARKET (Organizer),Public Market - Vendor,Awaiting Application,685 KING ST.,BRIDGEWATER
STARBUCKS ARRIVALS,Eating Establishment,Awaiting Application,747 BELL BLVD.,GOFFS
INVERARY MANOR,Eating Establishment,Awaiting Application,72 MAPLE ST.,INVERNESS
CITY DRUG STORE LTD,Food Shop,Awaiting Application,369 MAIN ST.,YARMOUTH
HIGHLANDER DINING ROOM,Eating Establishment,Awaiting Application,16 TWINING ST.,PICTOU
BALLAST GROUND FISHERIES LTD - FISH MOBILE,Mobile - Class 3,Active,220 COMMERCIAL ST.,NORTH SYDNEY
CHEZ DESLAURIERS,Eating Establishment - Seasonal,Awaiting Application,951 MONKS HEAD RD.,MONKS HEAD
PARISH COMMUNITY CENTRE,Eating Establishment,Awaiting Application,206 CHAPEL COVE RD.,L'ARDOISE
SMITH ROCK CHALETS LIMITED,Eating Establishment,Awaiting Application,310 FITZPATRICK MOUNTAIN RD.,SCOTSBURN
TREATS,Eating Establishment,Awaiting Application,6960 MUMFORD RD. UNIT 220,HALIFAX
SUSHI JET DIM SUM FUND,Eating Establishment,Awaiting Application,3471 DUTCH VILLAGE RD.,HALIFAX
SHEILA CLARKE'S CATERING,Eating Establishment,Awaiting Application,1229 TRURO RD.,TRURO
JANES NEXT DOOR,Eating Establishment,Awaiting Application,2053 GOTTINGEN ST.,HALIFAX
Kings Riverside Court,Eating Establishment,Awaiting Application,125 WEBSTER ST.,KENTVILLE
GLYDA'S FRUIT & VEGETABLES,Food Shop,Awaiting Application,6465 HIGHWAY 3 HWY.,WESTERN SHORE
STARBUCKS @TUPPER BUILDING,Eating Establishment,Awaiting Application,6299 SOUTH ST.,HALIFAX
SANDY WICKENS MEMORIAL ARENA,Eating Establishment,Awaiting Application,12 PARK LN,BARRINGTON
BALAI FILIPINO AND ASIAN FOOD MART,Food Shop,Awaiting Application,260 SOUTH FOORD,STELLARTON
HAPPY DAYVS DINER,Mobile - Class 1,Awaiting Application,181 CONVENT ST.,NEW WATERFORD
PERRY RICHARDSON - LF MOBILE # 1,Mobile - Class 3,Awaiting Application,5838 PROSPECT RD.,BIG LAKE
MARITIME SEAFOODS,Food Shop,Awaiting Application,2616 LYONS BROOK RD.,PICTOU
KLEINER FARMS - YARMOUTH COMMUNITY FARMERS MARKET,Public Market - Vendor,Awaiting Application,15 HAWTHORNE ST.,YARMOUTH
EAST COAST FILIPINO PORTAL LTD - MARITIME HALL MARKET,Public Market - Vendor,Awaiting Application,2901 WINDSOR ST.,HALIFAX
Pomquet Pantry,Eating Establishment,Awaiting Application,8335 HIGHWAY 4 HWY.,AFTON
Douglas Wilcox LF,Mobile - Class 3,Awaiting Application,1795 EAST CHEZZETCOOK RD.,LOWER EAST CHEZZETCOOK
CRABBIE J'S MARINA INC (FISH & CHIP KIOSK),Eating Establishment - Seasonal,Awaiting Application,85 CALADH AVE.,PICTOU
YARMOUTH MARINER CENTRE,Eating Establishment,Awaiting Application,45 JODY SHELLEY DR.,YARMOUTH
KEVIN DONALDSON - LF,Mobile - Class 3,Awaiting Application,3165 HIGHWAY 3 HWY.,LOWER ARGYLE
Island Cafe and Catering,Eating Establishment,Awaiting Application,4 PAUL ST.,MIRA ROAD
BEANDOCK COFFEE & COLLECTIBLES (THE),Eating Establishment,Awaiting Application,10 JOHN ST.,SHELBURNE
CHANDLERS' FUNERAL HOME,Food Shop,Awaiting Application,91 UNION ST.,LIVERPOOL
HOTEL DE LA MARINE,Eating Establishment - Seasonal,Awaiting Application,"259 PARK SERVICE RD, HOTEL DE LA MARINE",LOUISBOURG
KENTVILLE CENTENNIAL ARENA,Eating Establishment,Awaiting Application,120 WEBSTER ST.,KENTVILLE
WESTVILLE & MINERS SPORTS CENTRE,Eating Establishment,Awaiting Application,1840 PARK ST.,WESTVILLE
EDNA,Eating Establishment,Awaiting Application,2053 GOTTINGEN ST.,HALIFAX
MCCULLOCH FAMILY BAKERY,Food Shop,Awaiting Application,175 GEORGE ST.,STEWIACKE
CARMEN'S GERMAN BAKERY LTD,Food Shop,Awaiting Application,93071 PEPPERALL ST.,ST. PETERS
GARRISON HOUSE INN,Eating Establishment,Awaiting Application,350 ST GEORGE ST.,ANNAPOLIS ROYAL
GRAFTON ST DINNER THEATRE/ROXBURY URBAN DIVE BAR,Eating Establishment,Awaiting Application,1741 GRAFTON ST.,HALIFAX
FOREST HILL FARM - YARMOUTH FARMERS MARKET,Public Market - Vendor,Awaiting Application,15 HAWTHORNE ST.,YARMOUTH
JENNIFER'S FOOD SERVICE LIMITED,Eating Establishment,Awaiting Application,3722 HIGHWAY 106 HWY.,CARIBOU
GRAVES FRESHMART,Eating Establishment,Awaiting Application,49 QUEEN ST.,BRIDGETOWN
RURAL ROOTS FARM - BADDECK FARMERS MARKET,Public Market - Vendor,Awaiting Application,26 CAMPBELL ST. 1,BADDECK
CARMEN D'ENTREMONT - LES MARCHES DE LA BAIE,Public Market - Vendor,Awaiting Application,3255 HIGHWAY 1 HWY.,BELLIVEAUS COVE
MIRA SENIOR'S & PENSIONERS CENTRE,Eating Establishment,Awaiting Application,4037 GABARUS HWY.,MARION BRIDGE
BIRKINSHAW'S TEA ROOM & COFFEE HOUSE,Eating Establishment,Awaiting Application,10 HAVELOCK ST.,AMHERST
LAKESIDE FIRE HALL,Eating Establishment,Awaiting Application,26 MYRA RD.,TIMBERLEA
EVAN'S FRESH SEAFOOD (& RESTAURANT),Eating Establishment,Awaiting Application,2 OCHTERLONEY ST.,DARTMOUTH
