account_name,nsbi_sector,deal_type,nsbi_financial_contribution,city,nsbi_county,postal_code,fiscal_year,longitude,latitude,coordinates
Northern Business Intelligence,ICT (includes Digital Media),Business Development Program,10850,Dartmouth,Halifax Regional Municipality,B3B1T4,2018 - 2019,-63.59236,44.70609,POINT (-63.59236 44.70609)
Fourth State Energy Incorporated,Energy,Business Development Program,3750,Halifax,Halifax Regional Municipality,B3J2L4,2018 - 2019,-63.632286,44.654755,POINT (-63.632286 44.654755)
Skinfix Inc,Advanced Manufacturing,Business Development Program,8100,Halifax,Halifax Regional Municipality,B3J1R9,2018 - 2019,-63.570552,44.645084,POINT (-63.570552 44.645084)
Singolar Inc,ICT (includes Digital Media),Business Development Program,15000,Bridgewater,Lunenburg,B4V6Y1,2018 - 2019,-64.6186263,44.4261574,POINT (-64.6186263 44.4261574)
Truro Herbal Co.,Life Sciences,Business Development Program,15000,Truro,Colchester,B2N1M8,2018 - 2019,-63.298648,45.371086,POINT (-63.298648 45.371086)
SimplyCast Interactive Marketing LTD.,ICT (includes Digital Media),Business Development Program,12500,Dartmouth,Halifax Regional Municipality,B2W6E2,2018 - 2019,-63.535262,44.681461,POINT (-63.535262 44.681461)
En Point Inc,ICT (includes Digital Media),Business Development Program,2520,Halifax,Halifax Regional Municipality,B3J3M8,2018 - 2019,-63.5727,44.647395,POINT (-63.5727 44.647395)
BlueLight Analytics Inc,Life Sciences,Business Development Program,25000,Halifax,Halifax Regional Municipality,B3L4G4,2018 - 2019,-63.620539,44.642071,POINT (-63.620539 44.642071)
Ednaturals Bar,Agri-food,Business Development Program,2450,Halifax,Halifax Regional Municipality,B3P1H5,2018 - 2019,-63.610642,44.617409,POINT (-63.610642 44.617409)
Victoria Co-Operative Fisheries Ltd,Fish & Seafood Processing,Business Development Program,15000,Neils Harbour,Victoria,B0C1N0,2018 - 2019,-60.343878,46.762745,POINT (-60.343878 46.762745)
Focal Technologies Corporation,Oceans Technology,Business Development Program,4775,Dartmouth,Halifax Regional Municipality,B3B1Z4,2018 - 2019,-63.587502,44.711855,POINT (-63.587502 44.711855)
Cove Kombucha,Agri-food,Business Development Program,8400,Halifax,Halifax Regional Municipality,B3J2J9,2018 - 2019,-63.576924,44.640981,POINT (-63.576924 44.640981)
Dormie Golf Workshop Inc.,Advanced Manufacturing,Business Development Program,14950,Halifax,Halifax Regional Municipality,B3K2Y3,2018 - 2019,-63.590301,44.660963,POINT (-63.590301 44.660963)
B4Checkin Limited,ICT (includes Digital Media),Business Development Program,19000,Halifax,Halifax Regional Municipality,B3J3S9,2018 - 2019,-63.586911,44.640361,POINT (-63.586911 44.640361)
Barrelling Tide Distillery,Agri-food,Business Development Program,6875,Port Williams,Kings,B0P1T0,2018 - 2019,-64.362715,45.159695,POINT (-64.362715 45.159695)
Fundmetric Incorporated,ICT (includes Digital Media),Business Development Program,7500,Halifax,Halifax Regional Municipality,B3J3K3,2018 - 2019,-63.57813098,44.64335495,POINT (-63.57813098 44.64335495)
Ven-Rez Products Ltd,Advanced Manufacturing,Business Development Program,16832,Shelburne,Shelburne,B0T1W0,2018 - 2019,-65.41816,43.66134,POINT (-65.41816 43.66134)
Riverside Lobster International Inc,Fish & Seafood Processing,Business Development Program,15000,Meteghan,Digby,B0W2J0,2018 - 2019,-66.258852,44.158134,POINT (-66.258852 44.158134)
Precision BioLogic Incorporated,Life Sciences,Business Development Program,4750,Dartmouth,Halifax Regional Municipality,B3B0A9,2018 - 2019,-63.573165,44.695212,POINT (-63.573165 44.695212)
Duckish Natural Skin Care Limited,Advanced Manufacturing,Business Development Program,9375,Halifax,Halifax Regional Municipality,B3L1K1,2018 - 2019,-63.595101,44.649822,POINT (-63.595101 44.649822)
GeoNavo Positioning Systems Inc,ICT (includes Digital Media),Business Development Program,15000,Hammonds Plains,Halifax Regional Municipality,B4B2B8,2018 - 2019,-63.800164,44.734087,POINT (-63.800164 44.734087)
Eyeread Inc.,ICT (includes Digital Media),Business Development Program,15000,Dartmouth,Halifax Regional Municipality,B3B1E8,2018 - 2019,-63.613528,44.694128,POINT (-63.613528 44.694128)
WarrierTech Inc,ICT (includes Digital Media),Business Development Program,13336,Halifax,Halifax Regional Municipality,B3H1Y1,2018 - 2019,-63.5849,44.640901,POINT (-63.5849 44.640901)
Unleash Surf Inc.,Travel & Accommodation,Business Development Program,5000,Halifax,Halifax Regional Municipality,B3K3S3,2018 - 2019,-63.590597,44.655797,POINT (-63.590597 44.655797)
THE WELL - CREATIVE CONSULTANTS INC.,ICT (includes Digital Media),Business Development Program,15000,Upper Tantallon,Halifax Regional Municipality,B3Z4R3,2018 - 2019,-63.86772,44.69243,POINT (-63.86772 44.69243)
BMC Seafoods Ltd,Fish & Seafood Processing,Business Development Program,3200,Meteghan,Digby,B0W2J0,2018 - 2019,-66.258852,44.158134,POINT (-66.258852 44.158134)
Atlantic Institute for Resilience Inc.,Life Sciences,Business Development Program,13750,Halifax,Halifax Regional Municipality,B3H1Y4,2018 - 2019,-63.585161,44.640827,POINT (-63.585161 44.640827)
Cribcut,ICT (includes Digital Media),Business Development Program,7500,Halifax,Halifax Regional Municipality,B3J3R7,2018 - 2019,-63.57614729,44.65208895,POINT (-63.57614729 44.65208895)
Sealand Building Group Inc,Advanced Manufacturing,Business Development Program,22500,Halifax,Halifax Regional Municipality,B4B1G2,2018 - 2019,-63.741086,44.724533,POINT (-63.741086 44.724533)
Keeping Roads Safe Technologies Inc,ICT (includes Digital Media),Business Development Program,2850,Bedford,Halifax Regional Municipality,B4B1H1,2018 - 2019,-63.710231,44.722456,POINT (-63.710231 44.722456)
Tony's Meats Ltd,Agri-food,Business Development Program,5980,Antigonish,Antigonish,B2G2L2,2018 - 2019,-61.944846,45.654903,POINT (-61.944846 45.654903)
Stark International Inc,Energy,Business Development Program,7500,New Glasgow,Pictou,B2H2T3,2018 - 2019,-62.6438518,45.58895964,POINT (-62.6438518 45.58895964)
Made with Local Snack Foods Inc.,Agri-food,Business Development Program,15750,Dartmouth,Halifax Regional Municipality,B2Y2V9,2018 - 2019,-63.568797,44.669949,POINT (-63.568797 44.669949)
BioMedica Diagnostics Inc,Life Sciences,Business Development Program,13500,Windsor,Hants,B0N2T0,2018 - 2019,-64.318054,44.819594,POINT (-64.318054 44.819594)
InterTalk Critical Information Systems Inc,ICT (includes Digital Media),Business Development Program,14850,Dartmouth,Halifax Regional Municipality,B3B1J4,2018 - 2019,-63.611144,44.704132,POINT (-63.611144 44.704132)
Bend Beauty Inc.,Life Sciences,Business Development Program,10000,Halifax,Halifax Regional Municipality,B3J1C7,2018 - 2019,-63.577291,44.639639,POINT (-63.577291 44.639639)
Hanatech IOT Inc.,ICT (includes Digital Media),Business Development Program,15000,Bedford,Halifax Regional Municipality,B4A1E8,2018 - 2019,-63.655971,44.733116,POINT (-63.655971 44.733116)
Made with Local Snack Foods Inc.,Agri-food,Business Development Program,2100,Dartmouth,Halifax Regional Municipality,B2Y2V9,2018 - 2019,-63.568797,44.669949,POINT (-63.568797 44.669949)
Chocolate Hackers,Agri-food,Business Development Program,375,Halifax,Halifax Regional Municipality,B3K2H7,2018 - 2019,-63.604915,44.665088,POINT (-63.604915 44.665088)
Terra Beata,Agri-food,Business Development Program,5500,Bridgewater,Lunenburg,B0J2C0,2018 - 2019,-64.309889,44.37635,POINT (-64.309889 44.37635)
DBR Resources LTD.,Business Services,Business Development Program,7469,Waverley,Halifax Regional Municipality,B2R1T3,2018 - 2019,-63.598026,44.785742,POINT (-63.598026 44.785742)
Grey Lit Matters Inc,ICT (includes Digital Media),Business Development Program,7560,Halifax,Halifax Regional Municipality,B3P1A8,2018 - 2019,-63.608219,44.630968,POINT (-63.608219 44.630968)
DynaGen Technologies Incorporated,Advanced Manufacturing,Business Development Program,14775,Dartmouth,Halifax Regional Municipality,B3B1W8,2018 - 2019,-63.579683,44.70058,POINT (-63.579683 44.70058)
Classic Fine Foods,Agri-food,Business Development Program,4597,Edwardsville,Cape Breton,B2A4S6,2018 - 2019,-60.22160264,46.15678026,POINT (-60.22160264 46.15678026)
Spark Engagement Inc,Business Services,Business Development Program,15000,Antigonish,Antigonish,B2G2L2,2018 - 2019,-61.944846,45.654903,POINT (-61.944846 45.654903)
Marcato Digital Solutions Inc,ICT (includes Digital Media),Business Development Program,9975,Sydney,Cape Breton,B1P6J1,2018 - 2019,-60.224927,46.083533,POINT (-60.224927 46.083533)
EfficiencyOne Services Inc,Business Services,Business Development Program,2875,Dartmouth,Halifax Regional Municipality,B3B1G5,2018 - 2019,-63.605171,44.69816,POINT (-63.605171 44.69816)
3231974 NOVA SCOTIA LIMITED o/a Do Lobster,Fish & Seafood Processing,Business Development Program,7250,Eastern Passage,Halifax Regional Municipality,B3G1M4,2018 - 2019,-63.494322,44.612474,POINT (-63.494322 44.612474)
