registry_id,coop_name,incorporation_year,address,city,province,postal_code,non_profit_and_profit,type
3251438,(ACBC) ATLANTIC COUNCIL BIOENERGY COOPERATIVE LIMITED,18-Jan-11,60 Tweednooge Place,East Bay,NS,B1J 1M6,N,SERVICES
3023460,340 RANCHER'S CO-OPERATIVE LIMITED,8-Oct-98,"PO Box 149, 102 Langford Road",Weymouth,NS,B0W 3T0,P,AGRICULTURE
3057952,ABC HOUSING CO-OPERATIVE LIMITED,29-Jun-01,PO Box 152 DMPS,Dartmouth,NS,B2Y 3Y3,N,HOUSING
3309533,ABILITY WOOD PRODUCTS CO-OPERATIVE LIMITED,18-Jul-17,40 LOWER MACLEAN STREET,GLACE BAY,NS,B1A 2K7,P,RETAIL CONSUMER PRODUCTS
3073275,ACADIA CINEMA COOPERATIVE LTD.,16-Dec-02,450 MAIN STREET,WOLFVILLE,NS,B4P 1E2,N,SERVICES
3265866,AILEEN'S PETS WITHOUT VETS CO-OPERATIVE LTD.,27-Aug-12,744 VICTORIA ROAD,SYDNEY,NS,B1N 1J4,N,SERVICES
3332900,AINSLIE VIEW CO-OPERATIVE LIMITED,6-Dec-19,9657 TRANS CANADA HWY 105,WHYCOCOMAGH,NS,B0E 3M0,P,SERVICES
1459758,ALBRO COURT HOUSING CO-OPERATIVE LIMITED,11-Feb-82,2 CEDAR COURT,DARTMOUTH,NS,B3A 2K2,N,HOUSING
3052710,ALDERBERRY VILLAGE CRAFT CO-OPERATIVE LIMITED,18-Jan-01,57 Inglis Place,Truro,NS,B2N 4B5,P,WORKER LABOUR
3233867,ALL NOVA SCOTIA GREEN CHRISTMAS TREE CO-OP LTD.,12-Jan-09,PO Box 98,New Germany,NS,B0R 1E0,P,FOREST PRODUCTS
3280780,AMHERST TRAIN STATION ARTISAN GALLERY COOPERATIVE LIMITED,5-May-14,"142 SOUTH ALBION STREET, SUITE 130",AMHERST,NS,B4H 4H4,N,CRAFT PRODUCTS
3293059,ANTIGONISH COMMUNITY ENERGY COOPERATIVE LIMITED,13-Oct-15,59 MACKEN ROAD,ANTIGONISH LANDING,NS,B2G 2L2,N,SERVICES
1743824,ANTIGONISH FARM AND GARDEN CO-OPERATIVE LIMITED,31-Oct-86,91 ST. ANDREWS STREET,ANTIGONISH,NS,B2G 2G9,P,RETAIL CONSUMER PRODUCTS
2467461,APAQTAUKEWAQ FISHERIES CO-OP LTD.,18-Sep-95,22 Estherich Road,"Chapel Island, Richmond Co",NS,B0E 3B0,P,FISH PRODUCTS
1486567,APPLE BLOSSOM HOUSING CO-OPERATIVE LIMITED,7-Apr-83,PO BOX 576,KENTVILLE,NS,B4N 2W7,N,HOUSING
3319680,ARC OF THE COAST EASTERN CAPE BRETON COOPERATIVE ALLIANCE LTD.,31-Jul-18,8704 GABARUS HWY,GABARUS,NS,B1K 3R9,N,SERVICES
3254480,ARGYLE FARMERS' & ARTISANAL MARKET CO-OPERATIVE LIMITED,24-May-11,67 WILLIAM ROBBINS ROAD,TUSKET,NS,B0W 3M0,N,AGRICULTURE
2252510,ARIMATHEA FUNERAL CO-OPERATIVE LIMITED,8-Sep-93,"8741 Highway #224, Box 45",Upper Musquodoboit,NS,B0N 2M0,N,SERVICES
3232669,ART 1274 HOLLIS CO-OPERATIVE LIMITED,6-Nov-08,1274 Hollis Street,Halifax,NS,B3J 1T6,N,CRAFT PRODUCTS
3280816,ARTISYNC TECHNOLOGIES CO-OP LTD.,13-May-14,812 Upper Prince Street,Sydney,NS,B1P 5N7,P,CRAFT PRODUCTS
3277711,ARTPORT GALLERY COOPERATIVE LIMITED,3-Jan-14,277 BEAVER BANK RD,BEAVERBANK,NS,B4E 1K1,N,CRAFT PRODUCTS
1350939,ATHOL FORESTRY COOPERATIVE LIMITED,26-Jul-77,21397 Highway #2,Fort Lawrence,NS,B4H 3Y5,P,FOREST PRODUCTS
2484748,ATLANTIC CO-OPERATIVE CED INSTITUTE LTD.,2-Aug-95,PO BOX 1872,TRURO,NS,B2N 6C7,N,SERVICES
1350942,ATLANTIC FILMMAKERS CO-OPERATIVE LIMITED,5-Jun-74,"P.O. BOX 2043, STN.  M",Halifax,NS,B3J 2Z1,N,SERVICES
1451701,ATLANTIC HOUSING CO-OPERATIVE LIMITED,24-Dec-81,PO Box 152 DMPS,Dartmouth,NS,B2Y 3Y3,N,HOUSING
1798935,ATLANTIS HOUSING CO-OPERATIVE LIMITED,6-Jul-87,"143 RYLAND AVENUE, UNIT 24",TRURO,NS,B2N 6L4,N,HOUSING
1351007,BADDECK VALLEY WOOD PRODUCERS CO-OPERATIVE LTD.,20-Dec-73,247 Old Margaree Road,"Baddeck, Victoria Co.",NS,B0E 1B0,P,FOREST PRODUCTS
3039702,BARRACHOIS RETREAT CO-OPERATIVE LIMITED,25-Jan-00,1120 Sandpoint Road,Tatamagouche,NS,B0K 1V0,P,WORKER LABOUR
1349506,BAXTER'S HARBOUR CO-OPERATIVE LIMITED,12-Jan-76,208 WENEGA ROAD,RR5 CANNING,NS,B0P 1H0,N,WORKER LABOUR
1354477,BLACK ROSE CO-OPERATIVE LIMITED,15-Sep-77,2044 KLINE STREET,HALIFAX,NS,B3L 2X3,N,HOUSING
3342906,BLACK WELLNESS CO-OPERATIVE OF NOVA SCOTIA LTD.,3-Sep-20,36 DUKE STREET,BEDFORD,NS,B4A 2Z5,N,SERVICES
3327891,BOOMER HAVEN CO-OP LTD.,23-May-19,210 LYMAN STREET,TRURO,NS,B2N 4S6,N,SERVICES
3316039,BRETON FOREST INNOVATION CO-OPERATIVE LTD.,7-Mar-18,2390 CABOT TRAIL,MIDDLE RIVER,NS,B0E 1B0,N,FOREST PRODUCTS
1351470,BRIDGEWATER FARMERS COOPERATIVE SOCIETY LIMITED,2-Mar-46,123 ELM ST.,BRIDGEWATER,NS,B4V 2V5,P,RETAIL CONSUMER PRODUCTS
1351912,BRIERLY HOUSING CO-OPERATIVE LIMITED,7-Nov-79,11 COURT STREET,ANTIGONISH,NS,B2G 1Z7,N,HOUSING
1655565,BROOKSIDE ABATTOIR CO-OPERATIVE LIMITED,19-Jul-85,24 Brookside Branch Road,Bible Hill,NS,B6L 2A6,P,AGRICULTURE
3020069,C.A.J. WOODWORKERS CO-OPERATIVE LIMITED,12-Jun-98,"1296 Ashfield Road, RR #5",Orangedale,NS,B0E 2K0,P,WORKER LABOUR
3042694,C.K.D. FABRICATORS CO-OPERATIVE LIMITED,5-Apr-00,294 Ramshead River Road,Diligent River,NS,B0M 1H0,P,WORKER LABOUR
1914722,CANSO CO-OPERATIVE HEALTH CENTRE LIMITED,29-Dec-88,BOX 62,Canso,NS,B0H 1H0,N,SERVICES
1371852,CANSO CO-OPERATIVE LIMITED,25-Feb-37,PO BOX 34,CANSO,NS,B0H 1H0,P,RETAIL CONSUMER PRODUCTS
3094613,CAPE BLUE ROADS AND SERVICES CO-OPERATIVE LIMITED,14-Oct-04,52 Cape Jack Rd,Havre Boucher,NS,B0H 1P0,P,SERVICES
3218201,CAPE BRETON FARMERS' MARKET CO-OPERATIVE LIMITED,22-May-07,"PO Box 153, Station A",Sydney,NS,B1P 6H1,N,AGRICULTURE
3222050,CAPE BRETON MUSIC INDUSTRY CO-OPERATIVE LIMITED,14-Aug-07,PO Box 122,Sydney,NS,B1P 6G9,N,WORKER LABOUR
3049703,CAPE JOHN COMMUNITY PASTURE CO-OPERATIVE LIMITED,10-Oct-00,71 MOUNT CAMERON CIRCLE,ANTIGONISH LANDING,NS,B2G 2V3,P,SERVICES
3054030,CAPE MABOU PASTURE CO-OPERATIVE LIMITED,5-Mar-01,P.O. BOX 4,MABOU,NS,B0E 1X0,P,SERVICES
3246190,CAPE NORTH FARMERS MARKET COOPERATIVE LIMITED,10-Jun-10,c/o BOX 48,ST. MARGARET VILLAGE,NS,B0C 1R0,N,AGRICULTURE
3268827,CARBON ARC CINEMA COOPERATIVE LTD.,2-Jan-13,2443 AGRICOLA ST.,HALIFAX,NS,B3K 4C1,N,SERVICES
