year,board_council,board_name,school_code,school_name,mail_address_1,city,postal_code,civic_address_1,civic_address_2,civic_postal_code,mobile,fax,email,coordinates
2020-2021,53,Chignecto Central Regional Centre for Education,639,A. G. Baillie Memorial School,477 Victoria Ave Ext.,New Glasgow,B2H 1X1,477 Victoria Ave Ext.,New Glasgow,B2H 1X1,902-755-8240,902-755-8255,mcneilap@ccrce.ca,POINT (-62.657203 45.595085)
2020-2021,54,Halifax Regional Centre for Education,228,A. J. Smeltzer Junior High,46 Prince Street,Lower Sackville,B4C 1L1,46 Prince Street,Lower Sackville,B4C 1L1,902-864-6846,902-864-6852,ajs@hrce.ca,POINT (-63.670824 44.765331)
2020-2021,54,Halifax Regional Centre for Education,512,Admiral Westphal Elementary,6 Fourth Street,Dartmouth,B2X 3A5,6 Fourth Street,Dartmouth,B2X 3A5,902-435-8305,902-435-1749,awes@hrce.ca,POINT (-63.54535 44.686077)
2020-2021,53,Chignecto Central Regional Centre for Education,248,Advocate District School,PO Box 62,Advocate Harbour,B0M 1A0,3521 Highway 209,Advocate,B0M 1A0,902-392-3400,902-392-3401,DickinsonD@ccrce.ca,POINT (-64.788232 45.34086)
2020-2021,54,Halifax Regional Centre for Education,513,Alderney Elementary,2 Penhorn Drive,Dartmouth,B2Y 3K1,2 Penhorn Drive,Dartmouth,B2Y 3K1,902-464-2040,902-464-2686,alderney@hrce.ca,POINT (-63.546125 44.679481)
2020-2021,55,Annapolis Valley Regional Centre for Education,63,Aldershot Elementary School,446 Aldershot Rd,Kentville,B4N 3A1,446 Aldershot Rd,Kentville,B4N 3A1,902-690-3820,902-690-3823,aes@avrce.ca,POINT (-64.499822 45.090757)
2020-2021,53,Chignecto Central Regional Centre for Education,705,Amherst Regional High,190 Willow Street,Amherst,B4H 3W5,190 Willow Street,Amherst,B4H 3W5,902-661-2540,902-661-2535,stubberta@ccrce.ca,POINT (-64.188628 45.829855)
2020-2021,55,Annapolis Valley Regional Centre for Education,746,Annapolis East Elementary School,PO Box 640,Middleton,B0S 1P0,325 Marshall St,Middleton,B0S 1P0,902-825-5330,902-825-5333,aees@avrce.ca,POINT (-65.066761 44.946525)
2020-2021,55,Annapolis Valley Regional Centre for Education,133,Annapolis West Education Centre,PO Box 399,Annapolis Royal,B0S 1A0,100 Champlain Dr,Annapolis Royal,B0S 1A0,902-532-3150,902-532-3160,awec@avrce.ca,POINT (-65.503607 44.740342)
2020-2021,52,Strait Regional Centre for Education,934,Antigonish Education Centre,30 Appleseed Dr,Antigonish,B2G 3B6,30 Appleseed Dr,Antigonish,B2G 3B6,902-867-8800,902-867-8804,April.Weaver@srce.ca,POINT (-62.010332 45.61492)
2020-2021,54,Halifax Regional Centre for Education,317,Ash Lee Jefferson Elementary,10 Lockview Road,Fall River,B2T 1J1,10 Lockview Road,Fall River,B2T 1J1,902-860-4163,902-860-4191,aljs@hrce.ca,POINT (-63.615865 44.817675)
2020-2021,58,South Shore Regional Centre for Education,925,Aspotogan Consolidated Elementary School,105 Parkwood Drive,Mill Cove,B0J 1T0,105 Parkwood Drive,Mill Cove,B0J 1T0,902-857-2600,902-857-2601,aces@ssrce.ca,POINT (-64.072092 44.589969)
2020-2021,54,Halifax Regional Centre for Education,739,Astral Drive Elementary,236 Astral Drive,Dartmouth,B2V 1B8,236 Astral Drive,Dartmouth,B2V 1B8,902-462-8500,902-462-8600,ade@hrce.ca,POINT (-63.480598 44.654699)
2020-2021,54,Halifax Regional Centre for Education,749,Astral Drive Junior High,238 Astral Drive,Dartmouth,B2V 1B8,238 Astral Drive,Dartmouth,B2V 1B8,902-462-8700,902-462-6047,adjh@hrce.ca,POINT (-63.47953 44.653643)
2020-2021,54,Halifax Regional Centre for Education,425,Atlantic Memorial Terence Bay Elementary,3591 Prospect Road,Shad Bay,B3T 1Z3,3591 Prospect Road,Shad Bay,B3T 1Z3,902-852-2166,902-852-5514,amtb@hrce.ca,POINT (-63.77577 44.522842)
2020-2021,54,Halifax Regional Centre for Education,326,Atlantic View Elementary,3391 Lawrencetown Road,Lawrencetown,B2Z 1R5,3391 Lawrencetown Road,Lawrencetown,B2Z 1R5,902-464-5245,902-464-5246,atvs@hrce.ca,POINT (-63.376196 44.668431)
2020-2021,54,Halifax Regional Centre for Education,97,Auburn Drive High,300 Auburn Drive,Dartmouth,B2W 6E9,300 Auburn Drive,Dartmouth,B2W 6E9,902-462-6900,902-462-6950,adhs@hrce.ca,POINT (-63.483561 44.688337)
2020-2021,55,Annapolis Valley Regional Centre for Education,993,Avon View High School,PO Box 700,Windsor,B0N 2T0,225 Payzant Dr,Windsor,B0N 2T0,902-792-6740,902-792-6762,avhs@avrce.ca,POINT (-64.118877 44.980126)
2020-2021,51,Cape Breton Victoria Regional Centre for Education,96,Baddeck Academy,PO Box #310,Baddeck,B0E 1B0,320 Shore Rd,Baddeck,B0E 1B0,902-295-2359,902-295-1263,rmuller@gnspes.ca,POINT (-60.758811 46.095723)
2020-2021,59,Tri-County Regional Centre for Education,167,Barrington Municipal High School,536 Oak Park Rd,Barrington,B0W 1E0,536 Oak Park Rd.,Barrington,B0W 1E0,902-637-4310,902-637-4320,bmhs@tcrce.ca,POINT (-65.616217 43.578791)
2020-2021,54,Halifax Regional Centre for Education,104,Basinview Drive Community,273 Basinview Drive,Bedford,B4A 3X8,273 Basinview Drive,Bedford,B4A 3X8,902-832-8450,902-832-8461,bdcs@hrce.ca,POINT (-63.67882 44.723357)
