producer,contact_name,street_address,city,province,postal_code,phone,fax,email,website,hours,brands
A & T Savory Producers,"Anne Lewis, Owner",Parker Mountain Road,Annapolis Royal,NULL,B0S 1K0,(902) 532-2500,(902) 532-7929,NULL,NULL,NULL,"A & T Savory (bulk), Parkerdale Herb Farm (package)"
Abundant Acres,Jen Greenberg,182 Red Bank Rd.,Centre Burlington,Nova Scotia,B0N 1E0,(902) 757-1640,NULL,jenredfox@gmail.com,http://www.abundant-acres.com,NULL,NULL
Acadian Maple Products Limited.,Brian Allaway,13578 Peggy's Cove Road,Upper Tantallon,Nova Scotia,B3Z 2J2,1 (902) 826-2312,1 (902) 820-3000,info@acadianmaple.com,http://www.acadianmaple.com,NULL,Acadian Maple Products Limited
Acadian Seaplants,NULL,30 Brown Ave,Dartmouth,Nova Scotia,B3B 1X8,1 (902) 468-2840,1 (902) 468-3474,info@acadian.ca,http://www.acadianseaplants.com,9:00am - 8:00pm (Saturdays) 9:00am - 5:00pm (Sunday-Friday),Hana-Tsunomata
Acadiana Soy Products,Anna Anderson,11460 Hwy 1PO Box 34,Grand Pre,Nova Scotia,B0P 1M0,(902) 542-0675,(902) 542-1297,anna@acadianasoy.ca,http://www.acadianasoy.ca,By Chance - at Wolfville and Halifax Farmers' Markets,Acadiana Soy Products
Agri-Growers Ltd.,"Jim Daigle, Norma Langdale, Mike Redden",42 Hwy 358,Port Williams,Nova Scotia,B0P 1T0,(902) 542-2263,(902) 542-7149,agri-growers@ns.sympatico.ca,http://www.agrigrowers.com,NULL,"Agri-Growers Ltd., Sawler Gardens"
Alderney Landing Farmers' Market,Lisa Josey,"Alderney Landing, 2 Ochterloney Street",Dartmouth,Nova Scotia,B2Y 4W1,1 (902) 461-4698,NULL,lisa@alderneylanding.com,http://www.alderneylanding.com/market/,"Saturdays, 8 am - 1 pm, Year round",NULL
Alma Mater,Giuseppe + Silke Platania,"247, Porter Corning Rd","Richmond, NS",Nova Scotia,B5A5S4,1 (902) 800-8704,NULL,silke.platania@gmail.com,http://www.eliopoli.org,please call or email for appointment,NULL
Ambleside Farm,Gillian Mullins,"5856, Highway 331",Petite Riviere,Nova Scotia,B4V 5Y3,1 (902) 688-1021,NULL,gillie.mullins@gmail.com,NULL,Contact ahead.,NULL
Ames Apiaries & Honey,Vincent,384 McGrath Ave,Upper Rawdon,Nova Scotia,B0N 2N0,(902) 442-9923 x2,NULL,sales@ameshoney.com,NULL,By appointment only.,Ames Honey
Amherst Farmers' Market,Kristie Speck,9 Electric Street,Amherst,Nova Scotia,B4H 1W9,1 (413) 768-0781,NULL,AmherstFarmMarket@gmail.com,http://www.amherstfarmersmarket.com,Friday 10-2 April - Jan,NULL
Amos Pewter,NULL,589 Main Street,Mahone Bay,Nova Scotia,B0J 2E0,1 (800) 565-3369,NULL,info@amospewter.com,http://www.amospewter.com,Monday to Saturday: 9am - 5:30pm Sunday: 10am - 5:30pm,NULL
Amos Pewter Halifax,NULL,1751 Lower Water Street,Halifax,Nova Scotia,B3J 1S5,1 (800) 565-3369,NULL,info@amospewter.com,http://www.amospewter.com,Daily 10am - 5pm,NULL
Amos Pewter Peggy's Cove,NULL,162 Peggy's Point Road,Peggy's Cove,Nova Scotia,B3Z 2S2,(800) 565-3369,NULL,info@amospewter.com,http://www.amospewter.com,Visit www.amospewter.com for store hours.,NULL
Angelhoeve Farm,Angela Patterson,1467 Gospel Woods Rd,Canning,Nova Scotia,B0P 1H0,(902) 582-1363,NULL,jangela@angelhoeve.ca,NULL,NULL,NULL
Angry Goose Crafts & Candles,Jamie wark,PO BOX 892,Springhill,Nova Scotia,B0M 1X0,NULL,NULL,angrygoosecandles@gmail.com,http://www.angrygoosecraftsandcandles.ca,Available from 9am - 9pm most days.,NULL
Annapolis Royal Farmers & Traders Market,Corinne Warner,178 Saint George Street,Annapolis Royal,NULL,B0S 1A0,(902) 245-4824,NULL,manager@annapolisroyalfarmersmarket.com,http://www.annapolisroyalfarmersmarket.com/,Saturdays 8 am - 1 pm May to October   Also Wednesdays in July and August from 10am - 2pm,NULL
Antigonish Farmers Market Association,Veronica DeYoung,30 James Street,Antigonish,Nova Scotia,NULL,1 (902) 867-7479,NULL,manager@antigonishfarmersmarket.org,http://www.antigonishfarmersmarket.ca,"Saturdays, May through December 8:30 am - 1:00 pm",NULL
AquaPrime Mussel Ranch Ltd,NULL,14108 Hwy #7,Ship Harbour,Nova Scotia,B0J 1Y0,1 (902) 845-2993,1 (902) 845-2659,info@aquaprimemusselranch.ca,http://www.aquaprimemusselranch.ca,NULL,NULL
Argyle Farmers & Artisanal Market,Kim D'eon,8168 Hwy 308,Tusket,Nova Scotia,B0W 3M0,1 (902) 648-0140,NULL,argylefarmersmarket@gmail.com,http://www.facebook.com/pages/Argyle-Farmers-and-Artisanal-Market/150616095010559,"Thursdays, 4 pm to 8 pm 2011 Season - June 9 to Oct 6",NULL
Aroma Maya Coffee Roasters,Sergio Garrido,922 West North River Road,Truro,Nova Scotia,B6L 6X9,1 (902) 385-3016,NULL,sergio@aromamaya.ca,http://aromamaya.ca,NULL,NULL
Art with MoJo,NULL,275 Main Street,Middleton,Nova Scotia,B0S 1A0,NULL,NULL,NULL,http://www.ArtwithMoJo.com,NULL,NULL
Authentic Seacoast Distilling Ltd,NULL,80 Main Street,Guysborough,Nova Scotia,B0H 1N0,NULL,NULL,NULL,NULL,NULL,NULL
Avon Community Farmers' Market,Karen Cooper,78 Thomas Street,Windsor,Nova Scotia,B0N 2T0,1 (902) 579-7652,NULL,avoncommunitymarket@gmail.com,http://www.avoncommunitymarket.weebly.com/about-us.html,"Sunday, 10am to 2pm",NULL
Avondale Sky Winery & Restaurant,Leann Grosvold,80 Avondale Cross Road,Newport Landing,Nova Scotia,B0N 2A0,1 (902) 253-2047,1 (902) 253-2057,info@avondalewine.ca,http://www.avondalesky.com,See Description,NULL
Baddeck Farmers Market,NULL,526 Chebucto Street,Baddeck,Nova Scotia,B0E 1B0,NULL,NULL,baddeckmarket@gmail.com,http://www.baddeckfarmersmarket.com,Wednesdays 11am to 2pm from mid-June to mid-October,NULL
Bandha Bar,NULL,6390 Cork St,Halifax,Nova Scotia,B3L 1Z2,(902) 403-3530,NULL,info@bandhabar.com,http://www.bandhabar.com,NULL,NULL
Barrington Florist,902 423 9912,1505 Barrington Street,Halifax,Nova Scotia,NULL,NULL,NULL,barringtonflorist@gmail.com,http://www.barringtonflorist.ca,9 am to 4:30 pm,NULL
Barteaux Farms,Dwayne Barteaux,"806 Moschelle, Hwy 201",Annapolis Royal,Nova Scotia,B0S 1A0,1 (902) 532-2951,NULL,barteauxfarms@ns.sympatico.ca,NULL,"9 to 5, Seven days a week during the season.   For strawberry U-pick, please call ahead for hours and season of operation.",NULL
Bayview Poultry Farms Ltd.,Glen Jennings,948 Shore Rd,Debert,Nova Scotia,B0M 1G0,(902) 662-2489,(902) 662-2445,NULL,NULL,NULL,NULL
Beautiful Hill Farm,Jim and Rhonda Kaine,3512 Hwy 252,Mabou,Nova Scotia,B0E 1X0,1 (902) 945-2425,NULL,rhondak18@live.com,NULL,June-November: We are at the Baddeck Market every Wednesday from 11-2 or come right to the farm Tuesday-Saturday (10am-5pm) For CSA's:Drop-off locations,NULL
Beavercreek Winery,Les & Paulette Wade,496 Carleton Rd,Lawrencetown,Nova Scotia,B0S 1M0,1 (902) 825-9463,NULL,cherryfarmer@hotmail.com,NULL,Evenings & weekends,NULL
Bee Happy Farm,Iris Kedmi,1904 Baddeck Forks Rd.,Baddeck,Nova Scotia,B0E1B0,1 (902) 818-8504,NULL,info@beehappyfarm.ca,http://www.beehappyfarm.ca,NULL,NULL
Bentley's Maple,Avard/Jean Bentley,12 Valley Road,Westchester Station,NULL,B0M 2A0,1 (902) 548-2973,1 (902) 548-2833,jbentley@ns.sympatico.ca,NULL,NULL,Avard Bentley Maple Products
Big Cove Foods,NULL,120 Big Cove Rd,Thorburn,Nova Scotia,b0k 1w0,1 (902) 921-1600,NULL,bigcovefoods@gmail.com,http://www.bigcovefoods.com,NULL,NULL
Billy Stick Food Limited,"Bill Toulany, Owner",3221 Hwy 7,Lake Echo,NULL,B3E 1B2,1 (902) 829-3332,1 (902) 829-2322,bill@billystickfood.com,http://www.billystickfood.com,NULL,Billy Stick Food
Black River Maple Products,Neal Livingston,249 MacLellans Rd.  Riverville,Mabou,Nova Scotia,B0E 1X0,(902) 258-3354,NULL,neall@ns.sympatico.ca,NULL,Call beforehand and arrange to purchase syrup and for pick-up.,NULL
Blomidon Farms,NULL,"2830 Hwy 221, Dempsey Corner",King's County,Nova Scotia,B0P 1C0,(902) 847-0872,NULL,blomidon@ns.sympatico.ca,NULL,NULL,NULL
Blomidon Produce Ltd.,"Laurie Hennigar, Roy Beckett",1770 Middle Dyke Road,Centerville,Nova Scotia,B0P 1J0,(902) 582-1373,NULL,nannybuddy@xcountry.tv,NULL,NULL,Blomidon
Blomindon Estate Winery,NULL,10318 Highway 221,Habitant,Nova Scotia,B0P 1H0,1 (902) 582-7565,NULL,retail@blomidonwine.ca,http://blomidonwine.ca/,Our retail shop is open from 10am -5pm Mondays thru Saturdays and from 12pm - 5pm on Sundays,NULL
Blue Barn Farms,NULL,1800 Hammonds Plains Rd.,Halifax,NULL,B4B 1P5,1 (902) 499-3399,NULL,info@bluebarn.ca,http://www.bluebarn.ca,NULL,NULL
Blue Harbour Cheese,Lyndell Findlay,3555 Robie Street,Halifax,Nova Scotia,B3K 4S7,1 (902) 240-0305,NULL,findlay@blueharbourcheese.com,NULL,Open Year Round,NULL
Blueberry Acres,Margie Brown,1225 Middle Dyke Road,Centreville,Nova Scotia,B0P 1J0,NULL,NULL,mbrown@mycountrymagic.com,http://www.mycountrymagic.com,"9 to 5 daily, 7 days a week in August through Labour Day Monday; closed on Mondays after Labour Day",NULL
Boates Farm,"F. Keith Boates, Brian Boates",432 Bligh Road,Woodville,Nova Scotia,B0P 1G0,(902) 678-7301,1 (902) 678-0771,bb@xcountry.tv,http://www.boatesfarm.ca,"U-Pick apples and pears usually opening Labour Day weekend.   For all U-picks please call ahead for hours, season of operation and availability.",Boates
Bob Ansem's U-Pick,NULL,1949 Lakewood Road,Centerville,NULL,B0P 1J0,(902) 679-0757,NULL,NULL,NULL,For all U-picks please call ahead for hours and season of operation.,NULL
Bonny Lea Farm/Herb Garden,NULL,5 Collicutt Rd. Hwy 14,Chester,Nova Scotia,B0J 1J0,1 (902) 275-5622,1 (902) 275-2567,NULL,http://www.chesterbound.com/bonnylea,NULL,NULL
Bonnymans' Wild Blueberries,Angus Bonnyman,19 Pine Street,Tatamagouche,Nova Scotia,B0K 1V0,1 (902) 956-3629,NULL,nswildblueberries@gmail.com,http://www.facebook.com/NSWildblueberries,"Fresh in season (August), frozen year 'round.  We also operate a spray-free wild blueberry u-pick in the third weekend in August   Please check our Facebook page for crop updates and events:  www.facebook.com/NSWildblueberries    Our spray-free wild blueberries are also available from the Grainery Food Co-op and we make regular deliveries to HRM",NULL
Bosveld's Fruit Farm,Hank or Dirk Bosveld,183 Lamont Road,Lakeville,NULL,B4N 3V7,1 (902) 678-8767 x902,1 (902) 678-1257,bosveld@auracom.com,NULL,8am - 6pm. The U-pick is for Strawberries only.   For all U-picks please call ahead for hours and season of operation.,NULL
Boulangerie La Vendéenne,David Unterweger,500 Highway 325,Blockhouse,Nova Scotia,B0J1E0,(902) 531-3090,NULL,boulangerie@eastlink.ca,NULL,Thursday - Sunday: 7am - 5pm,NULL
Bountywoods Farm,Marvin Weber,10580 Highway 215,South Maitland,Nova Scotia,B0N 2H0,1 (902) 261-2077,NULL,marvin@bountywoodsfarm.ca,http://www.bountywoodsfarm.ca,May to October 9:00 am - 6:00 pm Tuesday - Saturday,NULL
Boxing Rock Brewing Company,NULL,78 Ohio Road,Shelburne,Nova Scotia,B0T1W0,1 (902) 494-9233,NULL,info@boxingrock.ca,http://www.boxingrock.ca,"Tuesday - Saturday, 12 - 6 pm (Oct-May) 7 days a week, 11-7pm (May-Oct)",NULL
