account_name,nsbi_sector,deal_type,nsbi_financial_contribution,city,nsbi_county,postal_code,fiscal_year,longitude,latitude,coordinates
Northern Business Intelligence,ICT (includes Digital Media),Business Development Program,10850,dartmouth,Halifax Regional Municipality,B3B1T4,2018 - 2019,-63.59236,44.70609,POINT (-63.59236 44.70609)
Fourth State Energy Incorporated,Energy,Business Development Program,3750,halifax,Halifax Regional Municipality,B3J2L4,2018 - 2019,-63.632286,44.654755,POINT (-63.632286 44.654755)
Skinfix Inc,Advanced Manufacturing,Business Development Program,8100,halifax,Halifax Regional Municipality,B3J1R9,2018 - 2019,-63.570552,44.645084,POINT (-63.570552 44.645084)
Truro Herbal Co.,Life Sciences,Business Development Program,15000,truro,Colchester,B2N1M8,2018 - 2019,-63.298648,45.371086,POINT (-63.298648 45.371086)
SimplyCast Interactive Marketing LTD.,ICT (includes Digital Media),Business Development Program,12500,dartmouth,Halifax Regional Municipality,B2W6E2,2018 - 2019,-63.535262,44.681461,POINT (-63.535262 44.681461)
En Point Inc,ICT (includes Digital Media),Business Development Program,2520,halifax,Halifax Regional Municipality,B3J3M8,2018 - 2019,-63.5727,44.647395,POINT (-63.5727 44.647395)
BlueLight Analytics Inc,Life Sciences,Business Development Program,25000,halifax,Halifax Regional Municipality,B3L4G4,2018 - 2019,-63.620539,44.642071,POINT (-63.620539 44.642071)
Ednaturals Bar,Agri-food,Business Development Program,2450,halifax,Halifax Regional Municipality,B3P1H5,2018 - 2019,-63.610642,44.617409,POINT (-63.610642 44.617409)
Focal Technologies Corporation,Oceans Technology,Business Development Program,4775,dartmouth,Halifax Regional Municipality,B3B1Z4,2018 - 2019,-63.587502,44.711855,POINT (-63.587502 44.711855)
Cove Kombucha,Agri-food,Business Development Program,8400,halifax,Halifax Regional Municipality,B3J2J9,2018 - 2019,-63.576924,44.640981,POINT (-63.576924 44.640981)
Dormie Golf Workshop Inc.,Advanced Manufacturing,Business Development Program,14950,halifax,Halifax Regional Municipality,B3K2Y3,2018 - 2019,-63.590301,44.660963,POINT (-63.590301 44.660963)
B4Checkin Limited,ICT (includes Digital Media),Business Development Program,19000,halifax,Halifax Regional Municipality,B3J3S9,2018 - 2019,-63.586911,44.640361,POINT (-63.586911 44.640361)
Fundmetric Incorporated,ICT (includes Digital Media),Business Development Program,7500,halifax,Halifax Regional Municipality,B3J3K3,2018 - 2019,-63.57813098,44.64335495,POINT (-63.57813098 44.64335495)
Precision BioLogic Incorporated,Life Sciences,Business Development Program,4750,dartmouth,Halifax Regional Municipality,B3B0A9,2018 - 2019,-63.573165,44.695212,POINT (-63.573165 44.695212)
Duckish Natural Skin Care Limited,Advanced Manufacturing,Business Development Program,9375,halifax,Halifax Regional Municipality,B3L1K1,2018 - 2019,-63.595101,44.649822,POINT (-63.595101 44.649822)
Eyeread Inc.,ICT (includes Digital Media),Business Development Program,15000,dartmouth,Halifax Regional Municipality,B3B1E8,2018 - 2019,-63.613528,44.694128,POINT (-63.613528 44.694128)
WarrierTech Inc,ICT (includes Digital Media),Business Development Program,13336,halifax,Halifax Regional Municipality,B3H1Y1,2018 - 2019,-63.5849,44.640901,POINT (-63.5849 44.640901)
Unleash Surf Inc.,Travel & Accommodation,Business Development Program,5000,halifax,Halifax Regional Municipality,B3K3S3,2018 - 2019,-63.590597,44.655797,POINT (-63.590597 44.655797)
Atlantic Institute for Resilience Inc.,Life Sciences,Business Development Program,13750,halifax,Halifax Regional Municipality,B3H1Y4,2018 - 2019,-63.585161,44.640827,POINT (-63.585161 44.640827)
Cribcut,ICT (includes Digital Media),Business Development Program,7500,halifax,Halifax Regional Municipality,B3J3R7,2018 - 2019,-63.57614729,44.65208895,POINT (-63.57614729 44.65208895)
Sealand Building Group Inc,Advanced Manufacturing,Business Development Program,22500,halifax,Halifax Regional Municipality,B4B1G2,2018 - 2019,-63.741086,44.724533,POINT (-63.741086 44.724533)
Keeping Roads Safe Technologies Inc,ICT (includes Digital Media),Business Development Program,2850,bedford,Halifax Regional Municipality,B4B1H1,2018 - 2019,-63.710231,44.722456,POINT (-63.710231 44.722456)
Made with Local Snack Foods Inc.,Agri-food,Business Development Program,15750,dartmouth,Halifax Regional Municipality,B2Y2V9,2018 - 2019,-63.568797,44.669949,POINT (-63.568797 44.669949)
InterTalk Critical Information Systems Inc,ICT (includes Digital Media),Business Development Program,14850,dartmouth,Halifax Regional Municipality,B3B1J4,2018 - 2019,-63.611144,44.704132,POINT (-63.611144 44.704132)
Bend Beauty Inc.,Life Sciences,Business Development Program,10000,halifax,Halifax Regional Municipality,B3J1C7,2018 - 2019,-63.577291,44.639639,POINT (-63.577291 44.639639)
Hanatech IOT Inc.,ICT (includes Digital Media),Business Development Program,15000,bedford,Halifax Regional Municipality,B4A1E8,2018 - 2019,-63.655971,44.733116,POINT (-63.655971 44.733116)
Made with Local Snack Foods Inc.,Agri-food,Business Development Program,2100,dartmouth,Halifax Regional Municipality,B2Y2V9,2018 - 2019,-63.568797,44.669949,POINT (-63.568797 44.669949)
Chocolate Hackers,Agri-food,Business Development Program,375,halifax,Halifax Regional Municipality,B3K2H7,2018 - 2019,-63.604915,44.665088,POINT (-63.604915 44.665088)
Grey Lit Matters Inc,ICT (includes Digital Media),Business Development Program,7560,halifax,Halifax Regional Municipality,B3P1A8,2018 - 2019,-63.608219,44.630968,POINT (-63.608219 44.630968)
DynaGen Technologies Incorporated,Advanced Manufacturing,Business Development Program,14775,dartmouth,Halifax Regional Municipality,B3B1W8,2018 - 2019,-63.579683,44.70058,POINT (-63.579683 44.70058)
EfficiencyOne Services Inc,Business Services,Business Development Program,2875,dartmouth,Halifax Regional Municipality,B3B1G5,2018 - 2019,-63.605171,44.69816,POINT (-63.605171 44.69816)
Bereda Training Inc.,ICT (includes Digital Media),Business Development Program,15000,halifax,Halifax Regional Municipality,B3J3K5,2018 - 2019,-63.572554,44.644489,POINT (-63.572554 44.644489)
Iris Booth Incorporated,Business Services,Business Development Program,8000,halifax,Halifax Regional Municipality,B3K2Z8,2018 - 2019,-63.581653,44.651755,POINT (-63.581653 44.651755)
Densitas Inc,ICT (includes Digital Media),Business Development Program,15000,halifax,Halifax Regional Municipality,B3H3Z1,2018 - 2019,-63.59645,44.637136,POINT (-63.59645 44.637136)
Rx Security Inc.,Advanced Manufacturing,Business Development Program,15000,bedford,Halifax Regional Municipality,B4A2T3,2018 - 2019,-63.646705,44.737949,POINT (-63.646705 44.737949)
Benjamin Bridge Vineyards,Agri-food,Business Development Program,6000,wolfville,Kings,B4P2R1,2018 - 2019,-64.403589,45.013938,POINT (-64.403589 45.013938)
Novate Systems Inc.,Engineering & Professional,Business Development Program,7000,dartmouth,Halifax Regional Municipality,B3B1P7,2018 - 2019,-63.61637086,44.70527104,POINT (-63.61637086 44.70527104)
Bend Beauty Inc.,Life Sciences,Business Development Program,15000,halifax,Halifax Regional Municipality,B3J1C7,2018 - 2019,-63.577291,44.639639,POINT (-63.577291 44.639639)
MindSea Development Incorporated,ICT (includes Digital Media),Business Development Program,25000,halifax,Halifax Regional Municipality,B3J3M8,2018 - 2019,-63.5727,44.647395,POINT (-63.5727 44.647395)
Just Us! Coffee Roasters Co-op Ltd,Agri-food,Business Development Program,2500,wolfville,Kings,B4P2R3,2018 - 2019,-64.348807,45.068884,POINT (-64.348807 45.068884)
Site 2020 Inc.,ICT (includes Digital Media),Business Development Program,25000,dartmouth,Halifax Regional Municipality,B3B1L3,2018 - 2019,-63.595664,44.704755,POINT (-63.595664 44.704755)
Athletigen Technologies Inc,Life Sciences,Business Development Program,25000,halifax,Halifax Regional Municipality,B3J1G1,2018 - 2019,-63.57539255,44.64341829,POINT (-63.57539255 44.64341829)
Spring Loaded Technology Incorporated,Life Sciences,Business Development Program,25000,halifax,Halifax Regional Municipality,B3K1P5,2018 - 2019,-63.596475,44.653518,POINT (-63.596475 44.653518)
Boondoc Technologies Inc (The Rounds),ICT (includes Digital Media),Business Development Program,8063,halifax,Halifax Regional Municipality,B3K4X5,2018 - 2019,-63.611268,44.662185,POINT (-63.611268 44.662185)
Dragon Veterinary Canada Limited,ICT (includes Digital Media),Business Development Program,15000,bedford,Halifax Regional Municipality,B4A1H4,2018 - 2019,-63.674559,44.711731,POINT (-63.674559 44.711731)
The 7 Virtues Beauty Inc,Advanced Manufacturing,Business Development Program,15000,halifax,Halifax Regional Municipality,B3H1B1,2018 - 2019,-63.574296,44.624597,POINT (-63.574296 44.624597)
902HipHop Inc.,ICT (includes Digital Media),Business Development Program,15000,halifax,Halifax Regional Municipality,B3K4N7,2018 - 2019,-63.594931,44.654736,POINT (-63.594931 44.654736)
MetOcean Telematics Limited,Oceans Technology,Business Development Program,24750,dartmouth,Halifax Regional Municipality,B3B1R9,2018 - 2019,-63.595049,44.699403,POINT (-63.595049 44.699403)
