registry_id,coop_name,incorporation_year,address,city,province,postal_code,non_profit_and_profit,type
3057952,ABC HOUSING CO-OPERATIVE LIMITED,29-Jun-01,PO Box 152 DMPS,dartmouth,NS,B2Y 3Y3,N,HOUSING
3073275,ACADIA CINEMA COOPERATIVE LTD.,16-Dec-02,450 MAIN STREET,wolfville,NS,B4P 1E2,N,SERVICES
1459758,ALBRO COURT HOUSING CO-OPERATIVE LIMITED,11-Feb-82,2 CEDAR COURT,dartmouth,NS,B3A 2K2,N,HOUSING
3052710,ALDERBERRY VILLAGE CRAFT CO-OPERATIVE LIMITED,18-Jan-01,57 Inglis Place,truro,NS,B2N 4B5,P,WORKER LABOUR
3232669,ART 1274 HOLLIS CO-OPERATIVE LIMITED,6-Nov-08,1274 Hollis Street,halifax,NS,B3J 1T6,N,CRAFT PRODUCTS
2484748,ATLANTIC CO-OPERATIVE CED INSTITUTE LTD.,2-Aug-95,PO BOX 1872,truro,NS,B2N 6C7,N,SERVICES
1350942,ATLANTIC FILMMAKERS CO-OPERATIVE LIMITED,5-Jun-74,"P.O. BOX 2043, STN.  M",halifax,NS,B3J 2Z1,N,SERVICES
1451701,ATLANTIC HOUSING CO-OPERATIVE LIMITED,24-Dec-81,PO Box 152 DMPS,dartmouth,NS,B2Y 3Y3,N,HOUSING
1798935,ATLANTIS HOUSING CO-OPERATIVE LIMITED,6-Jul-87,"143 RYLAND AVENUE, UNIT 24",truro,NS,B2N 6L4,N,HOUSING
1354477,BLACK ROSE CO-OPERATIVE LIMITED,15-Sep-77,2044 KLINE STREET,halifax,NS,B3L 2X3,N,HOUSING
3342906,BLACK WELLNESS CO-OPERATIVE OF NOVA SCOTIA LTD.,3-Sep-20,36 DUKE STREET,bedford,NS,B4A 2Z5,N,SERVICES
3327891,BOOMER HAVEN CO-OP LTD.,23-May-19,210 LYMAN STREET,truro,NS,B2N 4S6,N,SERVICES
3268827,CARBON ARC CINEMA COOPERATIVE LTD.,2-Jan-13,2443 AGRICOLA ST.,halifax,NS,B3K 4C1,N,SERVICES
1717278,CHIGNECTO HOUSING CO-OPERATIVE LIMITED,15-Jul-86,PO BOX 152 DMPS,dartmouth,NS,B2Y 3Y3,N,HOUSING
2265467,CITY MARKET OF halifax CO-OPERATIVE LTD.,4-May-93,1209 Marginal Road,halifax,NS,B3H 4P8,P,AGRICULTURE
3261409,CMEC ALUMNI & STUDENT CO-OP LTD.,1-Mar-12,"Saint Mary's University, 
923 Robie Street",halifax,NS,B3H 3C3,N,SERVICES
