facility,permit_type,permit_status,facility_address,city
TREATS,Eating Establishment,Awaiting Application,6960 MUMFORD RD. UNIT 220,halifax
SUSHI JET DIM SUM FUND,Eating Establishment,Awaiting Application,3471 DUTCH VILLAGE RD.,halifax
SHEILA CLARKE'S CATERING,Eating Establishment,Awaiting Application,1229 TRURO RD.,truro
JANES NEXT DOOR,Eating Establishment,Awaiting Application,2053 GOTTINGEN ST.,halifax
STARBUCKS @TUPPER BUILDING,Eating Establishment,Awaiting Application,6299 SOUTH ST.,halifax
EAST COAST FILIPINO PORTAL LTD - MARITIME HALL MARKET,Public Market - Vendor,Awaiting Application,2901 WINDSOR ST.,halifax
EDNA,Eating Establishment,Awaiting Application,2053 GOTTINGEN ST.,halifax
GRAFTON ST DINNER THEATRE/ROXBURY URBAN DIVE BAR,Eating Establishment,Awaiting Application,1741 GRAFTON ST.,halifax
EVAN'S FRESH SEAFOOD (& RESTAURANT),Eating Establishment,Awaiting Application,2 OCHTERLONEY ST.,dartmouth
CAPTAIN MA NOODLES,Eating Establishment,Awaiting Application,5670 SPRING GARDEN RD.,halifax
RUDYS I,Eating Establishment,Awaiting Application,1681 GRANVILLE ST.,halifax
ESQUIRE RESTAURANT,Eating Establishment,Awaiting Application,772 BEDFORD HWY.,bedford
FREDERIC'S,Eating Establishment,Awaiting Application,1360 BARRINGTON ST.,halifax
GENJI SUSHI,Eating Establishment,Awaiting Application,184 WYSE RD.,dartmouth
DIV FOODS INC,Eating Establishment,Awaiting Application,15 YOUNG ST.,truro
MILLSTONE PUBLIC HOUSE (THE),Eating Establishment,Awaiting Application,250 BAKER DR. SUITE 108,dartmouth
BAM BAM'S BAGELS WITH CREAM CHEESE - HALIFAX FORUM FARMERS MARKET,Public Market - Vendor,Awaiting Application,2901 WINDSOR ST.,halifax
HOSPICE HALIFAX,Eating Establishment,Active,618 FRANCKLYN ST.,halifax
LIGHTFOOT & WOLFVILLE VINEYARDS,Eating Establishment,Active,11143 EVANGELINE TRAIL,wolfville
Mezza Lebanese Kitchen,Eating Establishment,Active,14 PEAKVIEW WAY,halifax
Saffron Indian Cuising - 30 FARNHAM GATE RD. - PID 00417212,Eating Establishment,Active,30 FARNHAM GATE RD.,halifax
Harbourville Schnitzelhaus / Wolfville Farmers Market,Public Market - Vendor,Active,24 ELM AVE.,wolfville
Birch & Anchor Beer Garden & Event Space,Eating Establishment,Active,367 BEDFORD HWY.,halifax
JASON WOODBURN - ALDERNEY LANDING FARMERS MARKET,Public Market - Vendor,Active,2 OCHTERLONEY ST.,dartmouth
HONEY & GINGER,Eating Establishment,Active,262 BAKER DR.,dartmouth
SHENG'S CHINESE RESTAURANT,Eating Establishment,Active,362 LACEWOOD DR. UNIT,halifax
MEXICAN TAKOLOKO RESTAURANT,Eating Establishment,Active,3248 ISLEVILLE ST.,halifax
KAM-MOON,Eating Establishment,Active,2013 BRUNSWICK ST.,halifax
LAUNDRY AT YOUR CONVENIENCE,Eating Establishment,Active,451 WINDMILL RD.,dartmouth
SUGAH,Eating Establishment,Active,1479 LOWER WATER ST.,halifax
GREAT BRITISH GRUB CAFE,Eating Establishment,Active,535 PRINCE ST.,truro
Suprima Farms -  WOLFVILLE FARMERS' MARKET,Public Market - Vendor,Active,24 ELM AVE.,wolfville
AVERYS FARM MARKETS LIMITED,Food Shop,Active,610 WILLOW ST.,truro
ROCKY (MOBILE #1),Mobile - Class 2,Active,5237 BLOWERS ST.,halifax
"PARKLAND AT THE LAKES, HARRIS HALL (KITCHEN)",Eating Establishment,Active,82 BAKER DR.,dartmouth
OCO MART,Eating Establishment,Active,6303 QUINPOOL RD.,halifax
CREPE CREPE CAFFE,Eating Establishment,Active,1070 BARRINGTON ST.,halifax
FRESH HAPPY HEALTHY SUSHI RESTAURANT,Eating Establishment,Active,75 PEAKVIEW WAY,bedford
MELVILLE LODGE CARE CENTRE,Eating Establishment,Active,50 SHOREHAM LANE,halifax
ILBUNJI BISTRO,Eating Establishment,Active,7071 BAYERS RD. SUITE 221,halifax
The Press Artisan Panini,Public Market - Vendor,Active,15 YOUNG ST.,truro
