year,board_council,board_name,school_code,school_name,mail_address_1,city,postal_code,civic_address_1,civic_address_2,civic_postal_code,mobile,fax,email,coordinates
2020-2021,54,Halifax Regional Centre for Education,512,Admiral Westphal Elementary,6 Fourth Street,dartmouth,B2X 3A5,6 Fourth Street,Dartmouth,B2X 3A5,902-435-8305,902-435-1749,awes@hrce.ca,POINT (-63.54535 44.686077)
2020-2021,54,Halifax Regional Centre for Education,513,Alderney Elementary,2 Penhorn Drive,dartmouth,B2Y 3K1,2 Penhorn Drive,Dartmouth,B2Y 3K1,902-464-2040,902-464-2686,alderney@hrce.ca,POINT (-63.546125 44.679481)
2020-2021,54,Halifax Regional Centre for Education,739,Astral Drive Elementary,236 Astral Drive,dartmouth,B2V 1B8,236 Astral Drive,Dartmouth,B2V 1B8,902-462-8500,902-462-8600,ade@hrce.ca,POINT (-63.480598 44.654699)
2020-2021,54,Halifax Regional Centre for Education,749,Astral Drive Junior High,238 Astral Drive,dartmouth,B2V 1B8,238 Astral Drive,Dartmouth,B2V 1B8,902-462-8700,902-462-6047,adjh@hrce.ca,POINT (-63.47953 44.653643)
2020-2021,54,Halifax Regional Centre for Education,97,Auburn Drive High,300 Auburn Drive,dartmouth,B2W 6E9,300 Auburn Drive,Dartmouth,B2W 6E9,902-462-6900,902-462-6950,adhs@hrce.ca,POINT (-63.483561 44.688337)
2020-2021,54,Halifax Regional Centre for Education,104,Basinview Drive Community,273 Basinview Drive,bedford,B4A 3X8,273 Basinview Drive,Bedford,B4A 3X8,902-832-8450,902-832-8461,bdcs@hrce.ca,POINT (-63.67882 44.723357)
2020-2021,54,Halifax Regional Centre for Education,268,Bedford and Forsyth Education Centres,1658 Bedford Highway Suite 0070,bedford,B4A 2X9,1658 Bedford Highway Suite 0070,Bedford,B4A 2X9,902-832-8630,902-832-2424,bfec@hrce.ca,POINT (-63.655089 44.735231)
2020-2021,54,Halifax Regional Centre for Education,937,Bedford South,2 Oceanview Drive,bedford,B4A 4J6,2 Oceanview Drive,Bedford,B4A 4J6,902-832-5800,902-832-5805,bedfords@hrce.ca,POINT (-63.679919 44.708968)
2020-2021,54,Halifax Regional Centre for Education,514,Bel Ayr Elementary,4 Bell Street,dartmouth,B2W 2P3,4 Bell Street,Dartmouth,B2W 2P3,902-435-8353,902-435-8373,belayr@hrce.ca,POINT (-63.50735 44.675983)
2020-2021,53,Chignecto Central Regional Centre for Education,1194,Bible Hill Consolidated School,103 Pictou Road,truro,B2N 2S2,103 Pictou Road,Truro,B2N 2S2,902-896-5511,902-896-5516,FougereKJ@ccrce.ca,POINT (-63.259464 45.375883)
