geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
13289,-23.02343869,-46.99874265,vinhedo,SP
85884,-25.28361951,-54.08771295,medianeira,PR
30626,-19.9991615,-44.01197555,belo horizonte,MG
30830,-19.89876389,-44.00574779,belo horizonte,MG
36025,-21.76980695,-43.35000711,juiz de fora,MG
30170,-19.92005529,-43.94161528,belo horizonte,MG
95800,-29.61803187,-52.17147041,venancio aires,RS
83750,-25.76172152,-49.70713274,lapa,PR
70730,-15.77612166,-47.88830851,brasilia,DF
4088,-23.60070813,-46.65637123,sao paulo,SP
35179,-19.36491931,-42.54994696,santana do paraíso,MG
15570,-20.07308033,-49.91327065,cardoso,SP
37640,-22.8558571,-46.31839202,extrema,MG
5110,-23.48658719,-46.73855338,sao paulo,SP
51170,-7.98256004,-34.91630127,recife,PE
30555,-19.95133124,-43.98054597,belo horizonte,MG
23953,-23.01612529,-44.53147631,angra dos reis,RJ
6604,-23.53943313,-46.90121294,jandira,SP
3318,-23.54446293,-46.5659158,sao paulo,SP
98700,-28.3933826,-53.89651041,ijuí,RS
50050,-8.05401,-34.8923925,recife,PE
5792,-23.63853894,-46.77803596,são paulo,SP
3316,-23.54301092,-46.56671794,sao paulo,SP
4851,-23.75157382,-46.66617494,sao paulo,SP
5727,-23.62823325,-46.73960477,sao paulo,SP
22641,-22.9878062,-43.30974363,rio de janeiro,RJ
95500,-29.82642821,-50.51683641,santo antonio da patrulha,RS
35400,-20.38585609,-43.51653121,ouro preto,MG
13408,-22.67910884,-47.68932024,piracicaba,SP
6333,-23.56178562,-46.82791976,carapicuíba,SP
70873,-15.743565,-47.8879155,brasilia,DF
38015,-19.7507274,-47.92999531,uberaba,MG
45350,-13.53145507,-40.15022862,itirucu,BA
16600,-21.99645893,-49.4552253,pirajuí,SP
3813,-23.48733675,-46.46533174,sao paulo,SP
80730,-25.43238184,-49.29631938,curitiba,PR
29345,-21.02731371,-40.81630794,marataizes,ES
15046,-20.774844,-49.38231375,sao jose do rio preto,SP
83601,-25.45867285,-49.52445654,campo largo,PR
18117,-23.53887829,-47.46472768,votorantim,SP
4363,-23.64538522,-46.67076641,sao paulo,SP
35045,-18.88015775,-41.96363591,governador valadares,MG
32265,-19.95132038,-44.04073289,contagem,MG
4256,-23.62871589,-46.59427007,são paulo,SP
22640,-22.96020431,-43.20082487,rio de janeiro,RJ
4708,-23.62880268,-46.69123743,são paulo,SP
5001,-23.52564878,-46.67897812,sao paulo,SP
2020,-23.49688537,-46.63224976,sao paulo,SP
28940,-22.84157563,-42.10090989,sao pedro da aldeia,RJ
20910,-22.90167049,-43.22635646,rio de janeiro,RJ
13990,-22.19976145,-46.75056699,espirito santo do pinhal,SP
32010,-19.93562467,-44.06368233,contagem,MG
5074,-23.52113133,-46.70712842,sao paulo,SP
2535,-23.49623737,-46.65217285,sao paulo,SP
38065,-19.73318981,-47.93686555,uberaba,MG
9624,-23.65569896,-46.57344857,são bernardo do campo,SP
88132,-27.64344689,-48.67016638,palhoça,SC
6395,-23.53765574,-46.85165802,carapicuiba,SP
8070,-23.49552781,-46.45773952,sao paulo,SP
87240,-23.76817513,-52.46109508,terra boa,PR
93115,-29.73525365,-51.13798373,sao leopoldo,RS
51030,-8.136018691,-34.91472715,recife,PE
22041,-22.96740232,-43.19097478,rio de janeiro,RJ
59200,-6.230787847,-36.03057912,santa cruz,RN
4326,-23.65997593,-46.63631332,sao paulo,SP
88914,-28.9818123,-49.40858604,balneario arroio do silva,SC
70853,-15.76290083,-47.88114099,brasília,DF
66055,-1.44480266,-48.4871271,belem,PA
2275,-23.46529839,-46.58745859,sao paulo,SP
4059,-23.61075185,-46.64713311,sao paulo,SP
98670,-27.56841773,-53.96974089,humaita,RS
95750,-29.44175328,-51.50842479,salvador do sul,RS
16020,-21.22052998,-50.4482112,aracatuba,SP
31070,-19.889199,-43.905555,belo horizonte,MG
89026,-26.97616314,-49.09437155,blumenau,SC
4137,-23.61183748,-46.61986526,sao paulo,SP
14170,-21.14952366,-47.99001277,sertaozinho,SP
19911,-22.97268463,-49.8646466,ourinhos,SP
89225,-26.23962751,-48.80112199,joinville,SC
1534,-23.56603065,-46.62525709,sao paulo,SP
36026,-21.77946156,-43.35383154,juiz de fora,MG
71610,-15.85518865,-47.92238023,brasilia,DF
2422,-23.4740602,-46.63808543,sao paulo,SP
36884,-21.1266208,-42.3754813,muriae,MG
6013,-23.53266332,-46.7776122,osasco,SP
37550,-22.2353555,-45.94426252,pouso alegre,MG
13845,-22.34847373,-46.94687663,mogi-guacu,SP
87800,-23.41214416,-52.76224798,rondon,PR
68530,-7.300283198,-50.03826136,rio maria,PA
76811,-8.802232622,-63.87122383,porto velho,RO
15056,-20.773647,-49.3497,sao jose do rio preto,SP
79011,-20.43605798,-54.61741901,campo grande,MS
2942,-23.47617294,-46.72256853,sao paulo,SP
5028,-23.540436,-46.693441,sao paulo,SP
51020,-8.111679674,-34.89086768,recife,PE
26010,-22.75408664,-43.41920465,nova iguacu,RJ
49680,-10.22127849,-37.42604961,nossa senhora da gloria,SE
50750,-8.064380598,-34.90146815,recife,PE
2998,-23.71995164,-46.69263416,sao paulo,SP
32604,-19.93974714,-44.19606832,betim,MG
32315,-19.93711232,-44.04200652,contagem,MG
26041,-22.71881112,-43.45743588,nova iguacu,RJ
37928,-20.244987,-46.36605375,sao roque de minas,MG
29550,-20.79032611,-41.39749359,jerônimo monteiro,ES
6660,-23.54772068,-46.95166696,itapevi,SP
97543,-29.79756475,-55.80955014,alegrete,RS
13084,-22.81924439,-47.08875131,campinas,SP
40717,-12.8966445,-38.48333625,salvador,BA
85660,-25.7423814,-53.05752778,dois vizinhos,PR
1544,-23.57684847,-46.61973394,sao paulo,SP
27345,-22.54423058,-44.17444253,barra mansa,RJ
28908,-22.89417727,-42.03334488,cabo frio,RJ
32315,-19.94325297,-44.04195573,contagem,MG
13214,-23.13999839,-46.91997549,jundiai,SP
31540,-19.8307145,-43.98383251,belo horizonte,MG
98005,-28.64021426,-53.6080383,cruz alta,RS
11704,-24.02606718,-46.48620028,praia grande,SP
21361,-22.85930919,-43.32948469,rio de janeiro,RJ
36730,-21.73153268,-42.41318909,pirapetinga,MG
35162,-19.46864879,-42.56655472,ipatinga,MG
4046,-23.61632575,-46.63879381,sao paulo,SP
65299,-2.292741,-46.28722949,centro novo do maranhao,MA
21515,-22.8277198,-43.34166964,rio de janeiro,RJ
31520,-19.82213693,-43.96525637,belo horizonte,MG
1135,-23.52690825,-46.65089424,sao paulo,SP
17690,-21.92350072,-50.74163969,bastos,SP
11707,-24.06262027,-46.55236612,praia grande,SP
13086,-22.83223349,-47.05762377,campinas,SP
4552,-23.59451663,-46.68768366,sao paulo,SP
31746,-19.8092782,-43.93849266,belo horizonte,MG
5024,-23.52794272,-46.68482388,sao paulo,SP
37704,-21.79229908,-46.547177,poços de caldas,MG
21235,-22.83768037,-43.328052,rio de janeiro,RJ
56912,-7.998640386,-38.28848386,serra talhada,PE
7210,-23.45435675,-46.43175765,guarulhos,SP
8240,-23.52423332,-46.44057264,sao paulo,SP
91420,-30.04339957,-51.15388871,porto alegre,RS
72146,-15.79473327,-48.10577145,brasilia,DF
12602,-22.71874696,-45.11995288,lorena,SP
89240,-26.26758874,-48.64148733,sao francisco do sul,SC
15047,-20.76426399,-49.40640922,sao jose do rio preto,SP
2376,-23.45504857,-46.62875084,sao paulo,SP
75526,-18.42652266,-49.23371012,itumbiara,GO
32920,-20.04891128,-44.27263705,sao joaquim de bicas,MG
96090,-31.75216875,-52.23786836,pelotas,RS
33823,-19.7572166,-44.14534039,ribeirao das neves,MG
58200,-6.866347084,-35.4899318,guarabira,PB
50800,-8.032058856,-34.95401667,recife,PE
21321,-22.90256907,-43.34419553,rio de janeiro,RJ
31680,-19.8010763,-44.00031874,belo horizonte,MG
38412,-18.96246339,-48.31279016,uberlândia,MG
38320,-18.85290863,-50.13079767,santa vitória,MG
5036,-23.51652675,-46.68491236,sao paulo,SP
28540,-22.01629136,-42.36732967,cordeiro,RJ
30320,-19.97605567,-43.9444234,belo horizonte,MG
72871,-16.05584366,-47.99281369,valparaiso de goias,GO
86390,-23.05245489,-50.07223942,cambara,PR
6293,-23.5174293,-46.76047831,osasco,SP
36600,-21.72277136,-43.0709348,bicas,MG
35500,-20.1458697,-44.89422041,divinópolis,MG
95076,-29.16510463,-51.14338545,caxias do sul,RS
18603,-22.8806742,-48.44686227,botucatu,SP
36062,-21.75680736,-43.33515204,juiz de fora,MG
25245,-22.65691083,-43.3467128,duque de caxias,RJ
12914,-22.97153627,-46.53468566,braganca paulista,SP
21235,-22.83394298,-43.31489611,rio de janeiro,RJ
3809,-23.49029236,-46.47809213,são paulo,SP
87980,-22.72916341,-52.88549753,itauna do sul,PR
13920,-22.73296265,-46.88981489,pedreira,SP
30220,-19.94206416,-43.91669884,belo horizonte,MG
14835,-21.50583166,-48.1522877,motuca,SP
95020,-29.168725,-51.17586558,caxias do sul,RS
68377,-3.192013773,-52.20556195,altamira,PA
80045,-25.43073255,-49.25526258,curitiba,PR
30441,-19.93753318,-43.9608037,belo horizonte,MG
5171,-23.48168388,-46.74910209,sao paulo,SP
29620,-19.92742634,-40.86350832,itarana,ES
53030,-7.996645241,-34.84460007,olinda,PE
23893,-22.70695271,-43.71511471,seropedica,RJ
88317,-26.884393,-48.73570859,itajai,SC
22743,-22.92759606,-43.35067253,rio de janeiro,RJ
5411,-23.56021812,-46.67642837,sao paulo,SP
32603,-19.96568262,-44.20793994,betim,MG
14940,-21.7508861,-48.81695337,ibitinga,SP
5835,-23.647702,-46.74786647,sao paulo,SP
37500,-22.42447494,-45.45230073,itajuba,MG
35010,-18.85329776,-41.94797512,governador valadares,MG
98360,-27.464142,-53.168993,rodeio bonito,RS
12919,-22.97298251,-46.54697313,braganca paulista,SP
12040,-23.02648734,-45.57259769,taubate,SP
34800,-19.89502596,-43.6657039,caete,MG
23937,-22.96531467,-44.30501749,angra dos reis,RJ
5409,-23.55547675,-46.67548531,sao paulo,SP
31580,-19.81722797,-43.99619722,belo horizonte,MG
15440,-20.547117,-49.32291825,nova granada,SP
45270,-14.79205223,-40.14586469,nova canaa,BA
17602,-21.93360848,-50.4916334,tupa,SP
18530,-23.10339038,-47.71408534,tiete,SP
20931,-22.89293497,-43.2188034,rio de janeiro,RJ
18900,-22.89031921,-49.61253339,santa cruz do rio pardo,SP
90010,-30.03488844,-51.23485451,porto alegre,RS
24360,-22.91612246,-43.08480519,niteroi,RJ
17730,-21.78376346,-50.79301746,parapua,SP
15154,-20.68284257,-49.68956621,engenheiro balduíno,SP
39710,-18.62591392,-42.28643154,coroaci,MG
27323,-22.54085796,-44.16833541,barra mansa,RJ
42840,-12.82939,-38.27612,camacari,BA
39401,-16.73466935,-43.8359624,montes claros,MG
14350,-21.01777908,-47.37698937,altinopolis,SP
35460,-20.14340339,-44.21468092,brumadinho,MG
3817,-23.49134186,-46.49471003,sao paulo,SP
84130,-25.40878803,-49.99760656,palmeira,PR
37500,-22.41307447,-45.44313397,itajubá,MG
86300,-23.18853092,-50.63869764,cornelio procopio,PR
4911,-23.67800785,-46.73424777,sao paulo,SP
28633,-22.2410982,-42.52480981,nova friburgo,RJ
22221,-22.92853104,-43.17940218,rio de janeiro,RJ
1011,-23.54763955,-46.63603162,sao paulo,SP
29330,-21.00652243,-40.83386617,itapemirim,ES
2136,-23.49743855,-46.58276772,sao paulo,SP
95045,-29.13179261,-51.18467311,caxias do sul,RS
21864,-22.85437775,-43.46001508,rio de janeiro,RJ
17340,-22.49161114,-48.55532495,barra bonita,SP
13802,-22.44082785,-46.94134729,mogi mirim,SP
71100,-15.809373,-47.9887155,brasilia,DF
39945,-16.73696745,-40.42105176,palmopolis,MG
15061,-20.82530127,-49.34399659,sao jose do rio preto,SP
12306,-23.28163366,-45.94881594,jacarei,SP
47580,-11.56377012,-43.28048303,morpara,BA
21051,-22.8719775,-43.27129963,rio de janeiro,RJ
83514,-25.26132051,-49.30009099,almirante tamandare,PR
2726,-23.49890086,-46.68721105,sao paulo,SP
36720,-21.76939415,-42.53695915,volta grande,MG
12942,-23.12821758,-46.55913062,atibaia,SP
5525,-23.601933,-46.75210448,são paulo,SP
7195,-23.44452761,-46.50888899,guarulhos,SP
24220,-22.89901376,-43.10674627,niteroi,RJ
2721,-23.49860739,-46.67545728,sao paulo,SP
29060,-20.28323218,-40.3006399,vitoria,ES
1017,-23.54885183,-46.63120715,sao paulo,SP
51020,-8.109659996,-34.89334721,recife,PE
13801,-22.44664191,-46.96246735,mogi mirim,SP
22461,-22.96048694,-43.20628505,rio de janeiro,RJ
9715,-23.719961,-46.54522809,sao bernardo do campo,SP
21032,-22.85685384,-43.25807372,rio de janeiro,RJ
38408,-18.92751582,-48.23430177,uberlandia,MG
7500,-23.29897375,-46.21439544,santa isabel,SP
37950,-20.92075666,-46.96802708,sao sebastiao do paraiso,MG
5630,-23.6108046,-46.73650527,sao paulo,SP
95700,-29.17554914,-51.51915662,bento goncalves,RS
32070,-19.92416008,-44.12416727,contagem,MG
22795,-23.01624028,-43.45789003,rio de janeiro,RJ
4476,-23.70799638,-46.61897153,sao paulo,SP
83820,-25.64991117,-49.29194408,fazenda rio grande,PR
24030,-22.88972693,-43.12122111,niteroi,RJ
95500,-29.83244272,-50.52633926,santo antonio da patrulha,RS
6528,-23.40695545,-46.9031887,santana de parnaíba,SP
35170,-19.52277533,-42.62504437,coronel fabriciano,MG
9250,-23.6238003,-46.51737486,santo andre,SP
22020,-22.96643744,-43.17922542,rio de janeiro,RJ
1317,-23.55577176,-46.63955302,sao paulo,SP
19570,-22.21617965,-51.30148297,regente feijo,SP
59031,-5.802687933,-35.21291828,natal,RN
78690,-14.66436808,-52.35237392,nova xavantina,MT
71926,-15.84432204,-48.02590215,brasilia,DF
57045,-9.611630424,-35.73049615,maceio,AL
16400,-21.68004771,-49.76563065,lins,SP
21031,-22.8526031,-43.2600353,rio de janeiro,RJ
18080,-23.48068257,-47.46733413,sorocaba,SP
4112,-23.58301388,-46.6275439,sao paulo,SP
38800,-19.31007697,-46.04715255,sao gotardo,MG
12241,-23.2327909,-45.92753119,são josé dos campos,SP
92020,-29.90975938,-51.17438634,canoas,RS
14160,-21.13764766,-47.99132346,sertaozinho,SP
30180,-19.93151892,-43.94146,belo horizonte,MG
11410,-23.99937335,-46.26115579,guarujá,SP
8551,-23.52536673,-46.34677249,poa,SP
9170,-23.70958493,-46.5050024,santo andre,SP
38183,-19.60117992,-46.9361021,araxa,MG
14500,-20.33701931,-47.79664571,ituverava,SP
4602,-23.62647697,-46.68538352,sao paulo,SP
24230,-22.89998082,-43.10270743,niteroi,RJ
20510,-22.93282888,-43.23668622,rio de janeiro,RJ
64002,-5.074022921,-42.8199612,teresina,PI
22621,-23.00834349,-43.31455828,rio de janeiro,RJ
81230,-25.47066854,-49.34232813,curitiba,PR
39705,-18.54862963,-42.76616957,sao joao evangelista,MG
30220,-19.93931041,-43.9147307,belo horizonte,MG
13560,-22.01596952,-47.88713225,sao carlos,SP
35160,-19.50408777,-42.5703527,ipatinga,MG
14802,-21.76886794,-48.18735525,araraquara,SP
14095,-21.18971382,-47.75936414,ribeirão preto,SP
59014,-5.785285663,-35.19296977,natal,RN
2117,-23.52096085,-46.59241702,sao paulo,SP
35501,-20.18381301,-44.89916072,divinopolis,MG
1418,-23.56312174,-46.65656671,são paulo,SP
51230,-8.110161274,-34.94335565,recife,PE
5374,-23.58010675,-46.76220816,sao paulo,SP
38465,-18.43399524,-49.18599546,arapora,MG
5860,-23.66548734,-46.76602755,sao paulo,SP
11451,-23.9429106,-46.28837233,guaruja,SP
21750,-22.87659899,-43.41818307,rio de janeiro,RJ
29187,-20.04063143,-40.19106305,praia grande,ES
78065,-15.62344962,-56.08589276,cuiaba,MT
97501,-29.75193442,-57.08807541,uruguaiana,RS
95990,-28.92855842,-52.12032073,ilopolis,RS
7600,-23.31901681,-46.58530724,mairipora,SP
9550,-23.61871601,-46.55421716,sao caetano do sul,SP
20780,-22.89663325,-43.26771712,rio de janeiro,RJ
32900,-20.06346505,-44.29742676,igarape,MG
78400,-14.37213585,-56.39368458,diamantino,MT
78380,-14.73482251,-57.04741863,denise,MT
36570,-20.74937389,-42.8687319,viçosa,MG
11750,-24.30580862,-47.00547248,peruibe,SP
69030,-3.100436853,-60.05018748,manaus,AM
38022,-19.75625514,-47.93450766,uberaba,MG
36415,-20.50231474,-43.8581487,congonhas,MG
9351,-23.67630561,-46.43237427,maua,SP
5659,-23.60802389,-46.72193146,sao paulo,SP
37500,-22.42544483,-45.45853944,itajuba,MG
16052,-21.11850672,-50.41629397,aracatuba,SP
88025,-27.57455904,-48.53644791,florianópolis,SC
4571,-23.60218012,-46.69222808,sao paulo,SP
6253,-23.49769919,-46.79593334,osasco,SP
15460,-20.34770734,-49.19663046,icem,SP
24360,-22.91640307,-43.08701901,niterói,RJ
11015,-23.96260971,-46.31258155,santos,SP
78575,-11.25655483,-57.51283306,juara,MT
32340,-19.93870356,-44.0569821,contagem,MG
2134,-23.499111,-46.57854296,sao paulo,SP
4949,-23.720731,-46.77206353,sao paulo,SP
11370,-23.95686346,-46.38503943,são vicente,SP
21330,-22.88002113,-43.35577218,rio de janeiro,RJ
85880,-25.13738686,-54.30393138,itaipulândia,PR
1033,-23.53695825,-46.63581028,sao paulo,SP
89160,-27.2174641,-49.64482714,rio do sul,SC
79590,-20.275104,-51.70823,selviria,MS
95555,-29.65934,-49.96276,capao da canoa,RS
3185,-23.56333539,-46.58145404,são paulo,SP
59330,-6.035051078,-37.01907839,jucurutu,RN
1240,-23.54209356,-46.66266721,sao paulo,SP
81010,-25.47641608,-49.27320924,curitiba,PR
27277,-22.49818275,-44.12361372,volta redonda,RJ
9310,-23.67222998,-46.4501061,maua,SP
5625,-23.59412974,-46.72831697,sao paulo,SP
20950,-22.90596547,-43.26738275,rio de janeiro,RJ
85415,-24.613011,-53.3252835,cafelandia,PR
28230,-21.53928,-41.1556625,são francisco de itabapoana,RJ
5361,-23.56893268,-46.74664668,sao paulo,SP
7143,-23.41465756,-46.50311124,guarulhos,SP
44470,-12.96705059,-38.61595441,vera cruz,BA
35685,-20.19672742,-44.43678568,itatiaiucu,MG
22031,-22.96799843,-43.18646742,rio de janeiro,RJ
36404,-20.67680887,-43.78221249,conselheiro lafaiete,MG
38401,-18.89449252,-48.29274289,uberlândia,MG
90660,-30.06803932,-51.20405619,porto alegre,RS
35600,-19.74106422,-45.25388097,bom despacho,MG
24220,-22.905555,-43.09914633,niterói,RJ
82960,-25.46792493,-49.20991276,curitiba,PR
9920,-23.6828419,-46.62146578,diadema,SP
1532,-23.56642019,-46.63931195,sao paulo,SP
80420,-25.43869925,-49.28610084,curitiba,PR
36050,-21.72830584,-43.34832448,juiz de fora,MG
93900,-29.6072203,-51.15258611,ivoti,RS
30421,-19.94338604,-43.9771195,belo horizonte,MG
8465,-23.56337471,-46.3986455,sao paulo,SP
30710,-19.91408621,-43.96326349,belo horizonte,MG
9330,-23.65810777,-46.4312881,maua,SP
15130,-20.81604253,-49.49605887,mirassol,SP
13106,-22.88654456,-46.95383924,campinas,SP
5011,-23.53387953,-46.68438737,sao paulo,SP
8743,-23.55758377,-46.21338642,mogi das cruzes,SP
37553,-22.22637159,-45.92792719,pouso alegre,MG
69911,-9.928722597,-67.82119757,rio branco,AC
9050,-23.6753187,-46.54518432,santo andre,SP
2133,-23.49576519,-46.58230111,sao paulo,SP
81470,-25.57524008,-49.33337305,curitiba,PR
38640,-16.22831917,-45.99919087,riachinho,MG
4858,-23.77414523,-46.71609823,sao paulo,SP
4272,-23.60913162,-46.61258745,sao paulo,SP
4446,-23.68980612,-46.68513303,sao paulo,SP
36400,-20.66579998,-43.78536581,conselheiro lafaiete,MG
78110,-15.65245553,-56.13436241,varzea grande,MT
30350,-19.93945101,-43.94289575,belo horizonte,MG
15503,-20.40211695,-49.972616,votuporanga,SP
84935,-23.77865249,-49.95418461,tomazina,PR
24723,-22.81062944,-42.95028887,sao goncalo,RJ
20541,-22.92780941,-43.25552648,rio de janeiro,RJ
46300,-14.50357812,-42.22838627,cacule,BA
4859,-23.76543149,-46.7045611,sao paulo,SP
25963,-22.4208134,-42.97779392,teresopolis,RJ
13502,-22.43058505,-47.59814082,rio claro,SP
81925,-25.54232658,-49.26712674,curitiba,PR
97504,-29.79275241,-57.06249461,uruguaiana,RS
3665,-23.52327569,-46.49494535,sao paulo,SP
4144,-23.61707489,-46.63758143,são paulo,SP
6420,-23.50996651,-46.89101294,barueri,SP
85955,-24.41684888,-53.82869296,maripa,PR
6386,-23.53422875,-46.84533321,carapicuiba,SP
35450,-20.24227036,-43.80617459,itabirito,MG
37810,-21.30758204,-46.79115208,guaranesia,MG
53585,-7.898574316,-34.90612283,abreu e lima,PE
6900,-23.78031609,-46.79724271,embu-guaçu,SP
22451,-22.9782362,-43.23727808,rio de janeiro,RJ
8340,-23.60363638,-46.46870433,sao paulo,SP
74947,-16.796937,-49.344659,aparecida de goiania,GO
79080,-20.48745202,-54.61584389,campo grande,MS
78710,-16.45832077,-54.63108729,rondonopolis,MT
3734,-23.51123656,-46.52516254,sao paulo,SP
28895,-22.5140159,-41.92657023,rio das ostras,RJ
11075,-23.95963155,-46.34040063,santos,SP
21310,-22.8803755,-43.33558084,rio de janeiro,RJ
20771,-22.88562294,-43.29004197,rio de janeiro,RJ
30220,-19.93973084,-43.92000973,belo horizonte,MG
12306,-23.288409,-45.9474705,jacarei,SP
38706,-18.6235762,-46.500296,patos de minas,MG
30150,-19.92271112,-43.92303406,belo horizonte,MG
81210,-25.44199615,-49.32026867,curitiba,PR
11025,-23.96795945,-46.31004869,santos,SP
60160,-3.729258,-38.50314075,fortaleza,CE
21920,-22.79857433,-43.19257649,rio de janeiro,RJ
35720,-19.56019966,-44.07599014,matozinhos,MG
44480,-13.11372718,-38.89392954,jaguaripe,BA
13940,-22.47392885,-46.62664224,aguas de lindoia,SP
22640,-23.00458225,-43.31989932,rio de janeiro,RJ
88890,-28.18667263,-49.21368159,grao para,SC
22785,-22.99154871,-43.49673036,rio de janeiro,RJ
83501,-25.31186443,-49.29691842,almirante tamandare,PR
7714,-23.34458325,-46.76340445,caieiras,SP
89245,-26.419311,-48.78627975,araquari,SC
8490,-23.58159134,-46.41508229,são paulo,SP
59612,-5.176359027,-37.35781406,mossoro,RN
36120,-21.8707335,-43.32009083,matias barbosa,MG
29280,-20.79404466,-40.81069314,iconha,ES
12690,-22.66668053,-44.85342274,silveiras,SP
22441,-22.98536105,-43.22227608,rio de janeiro,RJ
5415,-23.56431636,-46.68161757,sao paulo,SP
18117,-23.56209998,-47.4568912,votorantim,SP
13140,-22.75866435,-47.15776519,paulinia,SP
7232,-23.46473133,-46.46674544,guarulhos,SP
17022,-22.26782189,-49.07467191,bauru,SP
88990,-29.19337767,-49.94336352,praia grande,SC
11320,-23.97182729,-46.37238137,sao vicente,SP
